strategy,rank
random_200,1.0
fscs_200,2.0
fscs_150,3.0
feature_diverse_150,4.5
random_150,4.5
spatial_thin_100_cap150,6.0
spatial_thin_150_cap150,7.5
hybrid_150_diverse_150,7.5
feature_diverse_100,9.5
fscs_100,10.0
random_100,11.0
spatial_thin_100_cap100,11.5
spatial_thin_150_cap100,13.0
hybrid_150_diverse_100,14.0
spatial_thin_250_cap150,15.0
spatial_thin_250_cap100,16.0
hybrid_300_diverse_100,18.0
spatial_thin_300_cap100,19.0
hybrid_300_diverse_150,19.5
spatial_thin_300_cap150,19.5
feature_diverse_60,20.0
fscs_60,21.0
random_60,23.0
spatial_thin_100_cap60,24.0
spatial_thin_150_cap60,25.0
spatial_thin_250_cap60,26.5
spatial_thin_300_cap60,26.5
random_40,28.0
