strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc,mask,corr_range_m
random_200,158,0.0629668297887504,0.0838474455209214,76.26032138273203,41.67147738092997,0.9430379746835444,0.8734177215189873,0.8227848101265823,0.9102017100831704,mask_off,150
fscs_200,158,0.0629668297887504,0.0838474455209214,76.26032138273203,41.67147738092997,0.9430379746835444,0.8734177215189873,0.8227848101265823,0.9102017100831704,mask_off,150
fscs_150,158,0.0709274240550053,0.0987576431980037,69.24288638259858,39.99427016186437,0.9430379746835444,0.8670886075949367,0.8164556962025317,0.9091525859378674,mask_off,150
random_150,158,0.0710254430615945,0.0954546902300877,67.76582634040238,39.68183504872501,0.9367088607594936,0.8734177215189873,0.8164556962025317,0.908285831135279,mask_off,150
feature_diverse_150,158,0.0715031127536799,0.0985002744501561,73.12420395202636,44.944422120166585,0.9493670886075948,0.8734177215189873,0.8417721518987342,0.9005366245010737,mask_off,150
random_200,158,0.0629668297887504,0.0838474455209214,32.70799597656418,17.43826778759881,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.9102017100831704,mask_off,300
fscs_200,158,0.0629668297887504,0.0838474455209214,32.70799597656418,17.43826778759881,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.9102017100831704,mask_off,300
fscs_150,158,0.0709274240550053,0.0987576431980037,31.670895711290093,16.84873253689568,0.8481012658227848,0.689873417721519,0.5632911392405063,0.9091525859378674,mask_off,300
random_150,158,0.0710254430615945,0.0954546902300877,31.01459101996141,16.70107178331719,0.8481012658227848,0.6772151898734177,0.5253164556962026,0.908285831135279,mask_off,300
feature_diverse_150,158,0.0715031127536799,0.0985002744501561,33.06733637533446,18.97754743649192,0.8607594936708861,0.7215189873417721,0.5822784810126582,0.9005366245010737,mask_off,300
random_200,158,0.0629668297887504,0.0838474455209214,16.934548809365477,8.178326590308057,0.7088607594936709,0.3860759493670886,0.0632911392405063,0.9102017100831704,mask_off,500
fscs_200,158,0.0629668297887504,0.0838474455209214,16.934548809365477,8.178326590308057,0.7088607594936709,0.3860759493670886,0.0632911392405063,0.9102017100831704,mask_off,500
fscs_150,158,0.0709274240550053,0.0987576431980037,16.740890145998335,8.632738666472932,0.7088607594936709,0.360759493670886,0.0253164556962025,0.9091525859378674,mask_off,500
random_150,158,0.0710254430615945,0.0954546902300877,16.575756758111737,8.23724868535207,0.7088607594936709,0.3481012658227848,0.0316455696202531,0.908285831135279,mask_off,500
feature_diverse_150,158,0.0715031127536799,0.0985002744501561,17.24167064505086,8.716070478989423,0.7215189873417721,0.430379746835443,0.050632911392405,0.9005366245010737,mask_off,500
random_200,158,0.0613585879913992,0.0865672385789024,76.26032138273332,41.67147738092992,0.9430379746835444,0.8734177215189873,0.8227848101265823,0.911549473666218,mask_on,150
fscs_200,158,0.0613585879913992,0.0865672385789024,76.26032138273332,41.67147738092992,0.9430379746835444,0.8734177215189873,0.8227848101265823,0.911549473666218,mask_on,150
fscs_150,158,0.0700166251655601,0.0952498976055073,69.02461780353673,39.36282063486031,0.9493670886075948,0.8670886075949367,0.8164556962025317,0.9096159799617246,mask_on,150
feature_diverse_150,158,0.0701831274791699,0.0919820477303013,74.15040720044945,44.4516599479723,0.9493670886075948,0.879746835443038,0.8417721518987342,0.901499204852962,mask_on,150
random_150,158,0.0702951648529227,0.1004998572671579,68.73129016530447,39.249405066519685,0.9430379746835444,0.8670886075949367,0.8164556962025317,0.9108836231772536,mask_on,150
random_200,158,0.0613585879913992,0.0865672385789024,33.172996198256484,17.02234175008464,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.911549473666218,mask_on,300
fscs_200,158,0.0613585879913992,0.0865672385789024,33.172996198256484,17.02234175008464,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.911549473666218,mask_on,300
fscs_150,158,0.0700166251655601,0.0952498976055073,32.55212656721666,17.025291427513757,0.8481012658227848,0.689873417721519,0.5506329113924051,0.9096159799617246,mask_on,300
feature_diverse_150,158,0.0701831274791699,0.0919820477303013,34.97249320845167,19.124602612375497,0.8544303797468354,0.7278481012658228,0.5759493670886076,0.901499204852962,mask_on,300
random_150,158,0.0702951648529227,0.1004998572671579,31.79431171751685,16.72847552545519,0.8481012658227848,0.689873417721519,0.5443037974683544,0.9108836231772536,mask_on,300
random_200,158,0.0613585879913992,0.0865672385789024,16.932175908278573,8.22857936576349,0.7088607594936709,0.3987341772151899,0.0569620253164556,0.911549473666218,mask_on,500
fscs_200,158,0.0613585879913992,0.0865672385789024,16.932175908278573,8.22857936576349,0.7088607594936709,0.3987341772151899,0.0569620253164556,0.911549473666218,mask_on,500
fscs_150,158,0.0700166251655601,0.0952498976055073,16.491132545323058,8.405349901443259,0.7088607594936709,0.3544303797468354,0.0253164556962025,0.9096159799617246,mask_on,500
feature_diverse_150,158,0.0701831274791699,0.0919820477303013,17.467408700268862,8.87299953514873,0.7278481012658228,0.4113924050632911,0.0443037974683544,0.901499204852962,mask_on,500
random_150,158,0.0702951648529227,0.1004998572671579,16.828087683187153,8.286452058014934,0.7088607594936709,0.3481012658227848,0.0189873417721519,0.9108836231772536,mask_on,500
