strategy,mean_rank
random_200,1.0
fscs_200,2.0
random_150,3.5
fscs_150,4.0
feature_diverse_150,4.5
spatial_thin_100_cap150,6.0
spatial_thin_150_cap150,7.0
hybrid_150_diverse_150,9.0
fscs_100,9.0
feature_diverse_100,10.0
random_100,10.0
spatial_thin_100_cap100,12.0
spatial_thin_150_cap100,13.0
hybrid_150_diverse_100,14.5
spatial_thin_250_cap150,14.5
spatial_thin_250_cap100,16.0
hybrid_300_diverse_100,17.0
spatial_thin_300_cap150,18.5
hybrid_300_diverse_150,19.5
spatial_thin_300_cap100,20.0
random_60,21.0
feature_diverse_60,22.0
fscs_60,22.0
spatial_thin_150_cap60,24.5
spatial_thin_250_cap60,25.0
spatial_thin_100_cap60,25.5
spatial_thin_300_cap60,27.0
random_40,28.0
