strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc,x_obs_fallback_parents,median_ci_width__built_loss,median_neff_min__built_loss,median_dor__built_loss,n_parents__built_loss,median_ci_width__crop_loss,median_neff_min__crop_loss,median_dor__crop_loss,n_parents__crop_loss,mask,corr_range_m
random_200,158,0.0532804458619491,0.1000378755811748,76.26032138273203,41.67147738092997,0.9430379746835444,0.8734177215189873,0.8227848101265823,0.9102017100831704,0,0.0512374657530866,70.27505601552461,0.5214722313810917,90,0.0560348738958293,86.45986826620435,0.4693495669305937,68,off,150
fscs_200,158,0.0532804458619491,0.1000378755811748,76.26032138273203,41.67147738092997,0.9430379746835444,0.8734177215189873,0.8227848101265823,0.9102017100831704,0,0.0512374657530866,70.27505601552461,0.5214722313810917,90,0.0560348738958293,86.45986826620435,0.4693495669305937,68,off,150
fscs_150,158,0.0602519847481949,0.1105819686606085,67.53041442906442,39.634079231714445,0.9430379746835444,0.8734177215189873,0.8164556962025317,0.909757941495418,0,0.0586262368068451,64.60877934767052,0.5152495236200245,90,0.0621365446032713,75.97157617542724,0.4674518534610981,68,off,150
random_150,158,0.0618739769864977,0.1153771359367693,66.45565972334853,39.43526288687825,0.9493670886075948,0.8670886075949367,0.8164556962025317,0.9095380648144584,0,0.0609609226087459,61.48642231172205,0.5193465254213239,90,0.064354044161251,76.1984640908309,0.4716008709353251,68,off,150
feature_diverse_150,158,0.0642254186012857,0.1067409398875469,73.12529183185731,45.00398532135805,0.9493670886075948,0.879746835443038,0.8354430379746836,0.9003596312541235,0,0.0600067326917563,68.14122780810908,0.5252686058547299,90,0.0673578605531218,81.61373490340924,0.4587186655030243,68,off,150
random_200,158,0.0532804458619491,0.1000378755811748,32.70799597656418,17.43826778759881,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.9102017100831704,0,0.0512374657530866,30.667659362860284,0.5214722313810917,90,0.0560348738958293,36.32947401298864,0.4693495669305937,68,off,300
fscs_200,158,0.0532804458619491,0.1000378755811748,32.70799597656418,17.43826778759881,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.9102017100831704,0,0.0512374657530866,30.667659362860284,0.5214722313810917,90,0.0560348738958293,36.32947401298864,0.4693495669305937,68,off,300
fscs_150,158,0.0602519847481949,0.1105819686606085,31.429469902965533,17.26471342146837,0.8481012658227848,0.6962025316455697,0.5632911392405063,0.909757941495418,0,0.0586262368068451,29.687028974491355,0.5152495236200245,90,0.0621365446032713,34.13423443324756,0.4674518534610981,68,off,300
random_150,158,0.0618739769864977,0.1153771359367693,30.82766575741641,16.58157096871836,0.8417721518987342,0.689873417721519,0.5379746835443038,0.9095380648144584,0,0.0609609226087459,29.26105085923016,0.5193465254213239,90,0.064354044161251,34.223213094387084,0.4716008709353251,68,off,300
feature_diverse_150,158,0.0642254186012857,0.1067409398875469,33.22827502274952,18.97953518496409,0.8607594936708861,0.7215189873417721,0.569620253164557,0.9003596312541235,0,0.0600067326917563,29.94894186480317,0.5252686058547299,90,0.0673578605531218,41.11558460667,0.4587186655030243,68,off,300
random_200,158,0.0532804458619491,0.1000378755811748,16.934548809365477,8.178326590308057,0.7088607594936709,0.3860759493670886,0.0632911392405063,0.9102017100831704,0,0.0512374657530866,14.942985604123953,0.5214722313810917,90,0.0560348738958293,18.918512624143556,0.4693495669305937,68,off,500
fscs_200,158,0.0532804458619491,0.1000378755811748,16.934548809365477,8.178326590308057,0.7088607594936709,0.3860759493670886,0.0632911392405063,0.9102017100831704,0,0.0512374657530866,14.942985604123953,0.5214722313810917,90,0.0560348738958293,18.918512624143556,0.4693495669305937,68,off,500
fscs_150,158,0.0602519847481949,0.1105819686606085,16.45148790749907,8.343276725963696,0.7151898734177216,0.3544303797468354,0.0189873417721519,0.909757941495418,0,0.0586262368068451,14.90717461634561,0.5152495236200245,90,0.0621365446032713,18.470352229084504,0.4674518534610981,68,off,500
