strategy,parent_id,parent_label,x_obs_source,n_good,n_bad,n_eff_good,n_eff_bad,n_eff_min,dor,ci_low,ci_high,ci_width
random_40,00000000000000000085,built_loss,test_site,40,40,20.537498284040247,7.420189790585269,7.420189790585269,0.40284257405022644,0.33660013163453917,0.457790508343739,0.12119037670919985
random_40,00000000000000000114,built_loss,test_site,40,40,10.54240069176539,10.403923797447309,10.403923797447309,0.6939600983782368,0.6163691758808625,0.7285801123285423,0.11221093644767977
random_40,0000000000000000024c,built_loss,test_site,40,40,19.54639885964327,9.600490953648006,9.600490953648006,0.6919521336521536,0.6158120624933916,0.7490531165317358,0.1332410540383442
random_40,00000000000000000375,built_loss,test_site,40,40,15.814660252506739,13.802174187403086,13.802174187403086,0.6522287370285438,0.5977140111567165,0.7185198553527584,0.1208058441960419
random_40,000000000000000004d2,built_loss,test_site,40,40,17.93133376551041,13.459499962694249,13.459499962694249,0.3998013533305736,0.2349862827132999,0.6834595665843648,0.4484732838710649
random_40,000000000000000005bd,built_loss,test_site,40,40,16.368300343804005,3.7227722217925048,3.7227722217925048,0.5264106645604892,0.4522738036368338,0.5947056926477742,0.1424318890109404
random_40,00000000000000000281,crop_loss,test_site,40,40,17.857128801768827,19.106757152555094,17.857128801768827,0.47468839331498613,0.441695100925801,0.5225567693309924,0.08086166840519138
random_40,000000000000000003a2,crop_loss,test_site,40,40,13.155797656749003,18.068791554991964,13.155797656749003,0.40320184418060645,0.3124397517264845,0.474193364039435,0.1617536123129505
random_40,00000000000000000001,built_loss,test_site,40,40,23.81822079721471,14.15744699429767,14.15744699429767,0.44759834754765676,0.3817997043131612,0.48874421086334063,0.10694450655017945
random_40,00000000000000000049,built_loss,test_site,40,40,20.798642129639177,3.2022146499729263,3.2022146499729263,0.4875429740648783,0.44047623112657075,0.5310690527292632,0.09059282160269244
random_40,0000000000000000004a,built_loss,test_site,40,40,23.61940269462256,5.358502911025159,5.358502911025159,0.45461349457163647,0.4264249073218565,0.4854881881943992,0.0590632808725427
random_40,0000000000000000004f,built_loss,test_site,40,40,24.337193420543677,17.215014763261802,17.215014763261802,0.3980645480250491,0.3302929540714658,0.5114241756083825,0.1811312215369167
random_40,0000000000000000005a,built_loss,test_site,40,40,17.17303759583937,13.29991644379827,13.29991644379827,0.45981432607270506,0.4128382692326547,0.4916157841407047,0.07877751490805002
