strategy,parent_id,parent_label,x_obs_source,n_good,n_bad,n_eff_good,n_eff_bad,n_eff_min,dor,ci_low,ci_high,ci_width
random_40,00000000000000000085,built_loss,test_site,40,40,37.31523635690072,23.42990467852548,23.42990467852548,0.40362933872671597,0.3298625071674731,0.4844290202962881,0.15456651312881498
random_40,00000000000000000114,built_loss,test_site,40,40,30.144238597476754,33.20991581314099,30.144238597476754,0.6629261196519202,0.6192477491164884,0.7019246881982883,0.08267693908179996
random_40,0000000000000000024c,built_loss,test_site,40,40,35.259196668134905,29.090578464747008,29.090578464747008,0.7044445897377086,0.653709659433176,0.7576616658674984,0.10395200643432234
random_40,00000000000000000375,built_loss,test_site,40,40,30.670058470798132,34.78055280961487,30.670058470798132,0.6451546024039891,0.5459065024461858,0.7293806638367486,0.18347416139056283
random_40,000000000000000004d2,built_loss,test_site,40,40,34.3395392803961,26.225142607921256,26.225142607921256,0.6693575685734966,0.6290418198955261,0.7110344735652363,0.0819926536697102
random_40,000000000000000005bd,built_loss,test_site,40,40,32.32616590024532,8.097088440495328,8.097088440495328,0.5455872653811361,0.47799381492280446,0.6189940870119426,0.14100027208913812
random_40,00000000000000000281,crop_loss,test_site,40,40,34.9108803380599,37.51767505895396,34.9108803380599,0.5150192887281106,0.47134178737527377,0.5877566667126555,0.1164148793373817
random_40,000000000000000003a2,crop_loss,test_site,40,40,31.183878367999977,36.373540487632,31.183878367999977,0.34417788887554296,0.2907783560711098,0.44170452991676923,0.15092617384565943
random_40,00000000000000000001,built_loss,test_site,40,40,36.26619266256071,29.04965868394588,29.04965868394588,0.44980536371790353,0.40640415155782367,0.4875921860855319,0.08118803452770823
random_40,00000000000000000049,built_loss,test_site,40,40,32.63561118392695,6.232494202147847,6.232494202147847,0.47567096451905383,0.42216564219580754,0.5204007570075652,0.09823511481175762
random_40,0000000000000000004f,built_loss,test_site,40,40,34.53725746238187,29.39205661049711,29.39205661049711,0.4329046888216412,0.3371754560319296,0.5204824201968814,0.1833069641649518
random_40,0000000000000000005a,built_loss,test_site,40,40,34.28951697184433,29.16555151274812,29.16555151274812,0.45438815388576603,0.41873069534961554,0.4768218091979235,0.05809111384830795
random_40,00000000000000000079,built_loss,test_site,40,40,35.36108194968598,38.133872719288284,35.36108194968598,0.6671656104124227,0.5999209853081104,0.6925004052069286,0.09257941989881813
random_40,00000000000000000087,built_loss,test_site,40,40,35.126626493202615,35.48786902027973,35.126626493202615,0.5555662599941956,0.47439420489444,0.6719960302028946,0.19760182530845455
random_40,000000000000000000a1,built_loss,test_site,40,40,35.31005645385512,14.121509631225186,14.121509631225186,0.4258233986624393,0.34361202506029753,0.47111467267889023,0.1275026476185927
random_40,000000000000000000b8,built_loss,test_site,40,40,37.08539940327568,17.308738527677807,17.308738527677807,0.46247974041986195,0.36645454658079535,0.5594877325983498,0.19303318601755448
random_40,000000000000000000c0,built_loss,test_site,40,40,36.38184982807362,32.864939922888404,32.864939922888404,0.6344911211525427,0.5619093374109476,0.6697615435719998,0.10785220616105218
random_40,000000000000000000e2,built_loss,test_site,40,40,37.59774278897693,24.031026820549044,24.031026820549044,0.39691727664856025,0.34327658154980484,0.5347738607373297,0.19149727918752485
random_40,000000000000000000f0,built_loss,test_site,40,40,38.02708069343138,31.395002449871935,31.395002449871935,0.6572082789205532,0.5459552745062355,0.7450790513669784,0.1991237768607429
random_40,000000000000000000f8,built_loss,test_site,40,40,36.669389220417955,33.93679001706205,33.93679001706205,0.5214155149764086,0.44541020636743295,0.5858183384139479,0.14040813204651498
random_40,0000000000000000011c,built_loss,test_site,40,40,39.199165926576406,10.68363234204455,10.68363234204455,0.7221639833627261,0.6810664663099567,0.7830092783513737,0.10194281204141697
random_40,00000000000000000161,built_loss,test_site,40,40,36.86897414079232,35.57683072849715,35.57683072849715,0.6933358444669174,0.6398745724439462,0.7266437295417035,0.08676915709775734
random_40,0000000000000000016a,built_loss,test_site,40,40,34.75448383157341,11.5147613083101,11.5147613083101,0.255992860138462,0.18607677532658534,0.3030212445753853,0.11694446924879998
random_40,00000000000000000176,built_loss,test_site,40,40,37.972164105126765,25.14180039078529,25.14180039078529,0.6498624895857713,0.6068875269855667,0.7021331343318322,0.09524560734626553
random_40,000000000000000001a8,built_loss,test_site,40,40,34.02823765464313,34.90476662278742,34.02823765464313,0.6121341417742675,0.5433134303034681,0.6718781527960842,0.12856472249261608
random_40,000000000000000001cd,built_loss,test_site,40,40,35.5776448039833,35.14956996794603,35.14956996794603,0.7249187714550909,0.6691309778783087,0.8249061037083185,0.15577512583000985
random_40,000000000000000001e5,built_loss,test_site,40,40,31.843493545735324,24.93197062739346,24.93197062739346,0.55444985332835,0.5053820808209738,0.6328564153508255,0.12747433452985169
random_40,00000000000000000209,built_loss,test_site,40,40,35.5207216035516,37.49409258474149,35.5207216035516,0.6165990951180275,0.5289639720373075,0.6910891281357031,0.16212515609839562
random_40,00000000000000000231,built_loss,test_site,40,40,35.52589734780205,34.27064880577847,34.27064880577847,0.5224158437526906,0.4212847136860434,0.610141935297506,0.18885722161146262
random_40,0000000000000000026d,built_loss,test_site,40,40,35.01502692207999,30.110481574130613,30.110481574130613,0.5792696694879099,0.5201898033464953,0.6679950185604645,0.14780521521396917
random_40,00000000000000000278,built_loss,test_site,40,40,30.131241012440604,32.79627535886287,30.131241012440604,0.791931535431945,0.7206222391889078,0.8349402831699033,0.11431804398099554
random_40,00000000000000000293,built_loss,test_site,40,40,33.21329797668209,29.069889653181775,29.069889653181775,0.5068156624001858,0.4367930572802878,0.5693518313264733,0.1325587740461855
random_40,00000000000000000316,built_loss,test_site,40,40,36.4860364712677,3.909987131658049,3.909987131658049,0.12407022078385299,0.10209446360115089,0.13678764226150972,0.03469317866035883
random_40,00000000000000000356,built_loss,test_site,40,40,35.78878042252008,32.50837588601732,32.50837588601732,0.5303240557994885,0.4363213121790424,0.6480273775228268,0.2117060653437844
