parent_id,parent_label,probe_state,score_median,score_knn,t_med,t_knn,category_baseline,category_step1_calibrated_t,category_step2_deadband,category_step3_deadband_effect,category_step4_knn
00000000000000000085,built_loss,good,0.4877681076052138,0.492655200492783,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
00000000000000000085,built_loss,bad,0.4783726913929167,0.5039171692583482,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
00000000000000000114,built_loss,good,0.4840174773372574,0.5184776870511797,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
00000000000000000114,built_loss,bad,0.46141978739151135,0.49803715173589524,0.472783519667577,0.49294976570243304,degraded,degraded,indistinguishable,indistinguishable,indistinguishable
0000000000000000024c,built_loss,good,0.4994535907717628,0.5243439009802541,0.472783519667577,0.49294976570243304,indistinguishable,recovering,indistinguishable,indistinguishable,indistinguishable
0000000000000000024c,built_loss,bad,0.47488756259603054,0.5000170494434082,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
00000000000000000375,built_loss,good,0.4984441760795563,0.5362619047265613,0.472783519667577,0.49294976570243304,indistinguishable,recovering,indistinguishable,indistinguishable,indistinguishable
00000000000000000375,built_loss,bad,0.45593120255254227,0.506982785662341,0.472783519667577,0.49294976570243304,degraded,degraded,indistinguishable,indistinguishable,indistinguishable
000000000000000004d2,built_loss,good,0.49709464120795727,0.49584157895378106,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
000000000000000004d2,built_loss,bad,0.481558975389614,0.48914361808125256,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
000000000000000005bd,built_loss,good,0.5051063875056078,0.5299506808970439,0.472783519667577,0.49294976570243304,recovering,recovering,indistinguishable,indistinguishable,indistinguishable
000000000000000005bd,built_loss,bad,0.4944881247766382,0.4503787683023793,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
00000000000000000281,crop_loss,good,0.49096902229626593,0.5032755113879249,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
00000000000000000281,crop_loss,bad,0.49037519076129005,0.5022232354635051,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
000000000000000003a2,crop_loss,good,0.5003086648262455,0.48913988948896686,0.472783519667577,0.49294976570243304,indistinguishable,recovering,indistinguishable,indistinguishable,indistinguishable
000000000000000003a2,crop_loss,bad,0.4986853923225369,0.48310447940805185,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
00000000000000000001,built_loss,good,0.5066445404104681,0.5199851632299813,0.472783519667577,0.49294976570243304,recovering,recovering,indistinguishable,indistinguishable,indistinguishable
00000000000000000001,built_loss,bad,0.4899630838696604,0.5061039445729621,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
00000000000000000049,built_loss,good,0.4883628518871986,0.6091592528527752,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,recovering
00000000000000000049,built_loss,bad,0.47062029848539383,0.5691923546048495,0.472783519667577,0.49294976570243304,degraded,indistinguishable,indistinguishable,indistinguishable,indistinguishable
0000000000000000004f,built_loss,good,0.5018984894708968,0.4975583325619882,0.472783519667577,0.49294976570243304,recovering,recovering,indistinguishable,indistinguishable,indistinguishable
0000000000000000004f,built_loss,bad,0.49191744417904637,0.4968230811234162,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
0000000000000000005a,built_loss,good,0.4919010092706544,0.5253298171506009,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
0000000000000000005a,built_loss,bad,0.4695664369368036,0.49636507565833765,0.472783519667577,0.49294976570243304,degraded,degraded,indistinguishable,indistinguishable,indistinguishable
00000000000000000079,built_loss,good,0.46877365421535583,0.48525018829176403,0.472783519667577,0.49294976570243304,degraded,degraded,indistinguishable,indistinguishable,indistinguishable
00000000000000000079,built_loss,bad,0.45856141602845757,0.46501089793400974,0.472783519667577,0.49294976570243304,degraded,degraded,indistinguishable,indistinguishable,indistinguishable
00000000000000000087,built_loss,good,0.48254908937332525,0.5565800990467318,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
00000000000000000087,built_loss,bad,0.47559622599253787,0.5057537607778552,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
000000000000000000a1,built_loss,good,0.4923921427616897,0.49604613287303984,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
000000000000000000a1,built_loss,bad,0.47326774987808035,0.47435942521514973,0.472783519667577,0.49294976570243304,degraded,indistinguishable,indistinguishable,indistinguishable,indistinguishable
000000000000000000b8,built_loss,good,0.4961650189780934,0.5384536467494488,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
000000000000000000b8,built_loss,bad,0.456341464495476,0.42830684667056856,0.472783519667577,0.49294976570243304,degraded,degraded,indistinguishable,indistinguishable,indistinguishable
000000000000000000c0,built_loss,good,0.49689105709749093,0.5348318608776604,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
000000000000000000c0,built_loss,bad,0.45879502316810294,0.4766568580165626,0.472783519667577,0.49294976570243304,degraded,degraded,indistinguishable,indistinguishable,indistinguishable
000000000000000000e2,built_loss,good,0.49886280115750226,0.6069760708119643,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,recovering
000000000000000000e2,built_loss,bad,0.4766073553331298,0.42077743389892214,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
000000000000000000f0,built_loss,good,0.47323128879012555,0.44706484139495173,0.472783519667577,0.49294976570243304,degraded,indistinguishable,indistinguishable,indistinguishable,indistinguishable
000000000000000000f0,built_loss,bad,0.4650802522222198,0.4491989329994061,0.472783519667577,0.49294976570243304,degraded,degraded,indistinguishable,indistinguishable,indistinguishable
000000000000000000f8,built_loss,good,0.48328440916002025,0.5303053963910457,0.472783519667577,0.49294976570243304,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
