probe_state,step,parent_label,n,true_rate,error_rate,abstain_rate,brier
good,baseline,all,158,0.3037974683544304,0.5632911392405063,0.13291139240506328,0.2548458050766892
good,baseline,built_loss,90,0.2111111111111111,0.6777777777777778,0.1111111111111111,0.25767814892310714
good,baseline,crop_loss,68,0.4264705882352941,0.4117647058823529,0.16176470588235295,0.25109711469172413
good,step1_calibrated_t,all,158,0.9620253164556962,0.0189873417721519,0.0189873417721519,0.2548458050766892
good,step1_calibrated_t,built_loss,90,0.9333333333333333,0.03333333333333333,0.03333333333333333,0.25767814892310714
good,step1_calibrated_t,crop_loss,68,1.0,0.0,0.0,0.25109711469172413
good,step2_deadband,all,158,0.0,0.0,1.0,0.2548458050766892
good,step2_deadband,built_loss,90,0.0,0.0,1.0,0.25767814892310714
good,step2_deadband,crop_loss,68,0.0,0.0,1.0,0.25109711469172413
good,step3_deadband_effect,all,158,0.0,0.0,1.0,0.2548458050766892
good,step3_deadband_effect,built_loss,90,0.0,0.0,1.0,0.25767814892310714
good,step3_deadband_effect,crop_loss,68,0.0,0.0,1.0,0.25109711469172413
good,step4_knn,all,158,0.10759493670886076,0.0,0.8924050632911392,0.22224303654480387
good,step4_knn,built_loss,90,0.13333333333333333,0.0,0.8666666666666667,0.22057634588519492
good,step4_knn,crop_loss,68,0.07352941176470588,0.0,0.9264705882352942,0.22444895065310977
bad,baseline,all,158,0.740506329113924,0.16455696202531644,0.0949367088607595,0.23393766861905044
bad,baseline,built_loss,90,0.9888888888888889,0.0,0.011111111111111112,0.22254048499867685
bad,baseline,crop_loss,68,0.4117647058823529,0.38235294117647056,0.20588235294117646,0.2490221763518979
bad,step1_calibrated_t,all,158,0.2974683544303797,0.6392405063291139,0.06329113924050633,0.23393766861905044
bad,step1_calibrated_t,built_loss,90,0.5222222222222223,0.36666666666666664,0.1111111111111111,0.22254048499867685
bad,step1_calibrated_t,crop_loss,68,0.0,1.0,0.0,0.2490221763518979
bad,step2_deadband,all,158,0.0,0.0,1.0,0.23393766861905044
bad,step2_deadband,built_loss,90,0.0,0.0,1.0,0.22254048499867685
bad,step2_deadband,crop_loss,68,0.0,0.0,1.0,0.2490221763518979
bad,step3_deadband_effect,all,158,0.0,0.0,1.0,0.23393766861905044
bad,step3_deadband_effect,built_loss,90,0.0,0.0,1.0,0.22254048499867685
bad,step3_deadband_effect,crop_loss,68,0.0,0.0,1.0,0.2490221763518979
bad,step4_knn,all,158,0.056962025316455694,0.006329113924050633,0.9367088607594937,0.2287512545602202
bad,step4_knn,built_loss,90,0.06666666666666667,0.0,0.9333333333333333,0.21909353348388313
bad,step4_knn,crop_loss,68,0.04411764705882353,0.014705882352941176,0.9411764705882353,0.2415335324553721
