variant,label,n,auc,brier,false_deg,false_rec,bal_err
med_cos_all,built_loss,18000,0.929890098765432,0.15050739731838267,0.14833333333333332,0.125,0.13666666666666666
med_eucl_all,built_loss,18000,0.9298850493827161,0.18840136082317982,0.14855555555555555,0.12488888888888888,0.13672222222222222
med_cos_k5,built_loss,18000,0.9528726913580247,0.12701677940265474,0.13711111111111107,0.10244444444444445,0.11977777777777776
med_eucl_k5,built_loss,18000,0.9528660864197531,0.16892364839792062,0.13722222222222225,0.10244444444444445,0.11983333333333335
mean_cos_k5,built_loss,18000,0.9561317407407407,0.1257203333234725,0.128,0.10077777777777777,0.11438888888888889
mean_eucl_k5,built_loss,18000,0.9564703333333333,0.16790977356332243,0.12777777777777777,0.10044444444444445,0.11411111111111111
med_cos_all,crop_loss,13600,0.8877746756055364,0.16742566586889873,0.236764705882353,0.14176470588235293,0.18926470588235295
med_eucl_all,crop_loss,13600,0.8877998269896193,0.195541896991569,0.2363235294117647,0.14176470588235293,0.1890441176470588
med_cos_k5,crop_loss,13600,0.9455377378892733,0.12903840862058066,0.13470588235294123,0.12338235294117647,0.12904411764705886
med_eucl_k5,crop_loss,13600,0.9455260813148789,0.16704347753657892,0.13470588235294123,0.12352941176470589,0.12911764705882356
mean_cos_k5,crop_loss,13600,0.9505519896193771,0.12736984383945782,0.12176470588235289,0.12352941176470589,0.12264705882352939
mean_eucl_k5,crop_loss,13600,0.9514970588235294,0.1657149499399885,0.12044117647058827,0.1223529411764706,0.12139705882352944
