deadband_halfwidth,delta,knn_k,probe_state,step,n,true_rate,error_rate,abstain_rate
0.02,0.0,5,good,step2_deadband,15800,0.7856329113924051,0.14563291139240506,0.06873417721518987
0.02,0.0,5,good,step3_deadband_effect,15800,0.7856329113924051,0.14563291139240506,0.06873417721518987
0.02,0.0,5,good,step4_knn,15800,0.804367088607595,0.07430379746835443,0.12132911392405063
0.02,0.0,5,bad,step2_deadband,15800,0.819746835443038,0.11120253164556962,0.0690506329113924
0.02,0.0,5,bad,step3_deadband_effect,15800,0.819746835443038,0.11120253164556962,0.0690506329113924
0.02,0.0,5,bad,step4_knn,15800,0.8164556962025317,0.056392405063291136,0.1271518987341772
0.02,0.02,5,good,step2_deadband,15800,0.7856329113924051,0.14563291139240506,0.06873417721518987
0.02,0.02,5,good,step3_deadband_effect,15800,0.735632911392405,0.11803797468354431,0.14632911392405062
0.02,0.02,5,good,step4_knn,15800,0.719873417721519,0.04316455696202531,0.2369620253164557
0.02,0.02,5,bad,step2_deadband,15800,0.819746835443038,0.11120253164556962,0.0690506329113924
0.02,0.02,5,bad,step3_deadband_effect,15800,0.7774683544303798,0.08348101265822785,0.1390506329113924
0.02,0.02,5,bad,step4_knn,15800,0.7256962025316456,0.02759493670886076,0.24670886075949366
0.02,0.03,5,good,step2_deadband,15800,0.7856329113924051,0.14563291139240506,0.06873417721518987
0.02,0.03,5,good,step3_deadband_effect,15800,0.7063291139240506,0.10563291139240506,0.1880379746835443
0.02,0.03,5,good,step4_knn,15800,0.679873417721519,0.03322784810126582,0.2868987341772152
0.02,0.03,5,bad,step2_deadband,15800,0.819746835443038,0.11120253164556962,0.0690506329113924
0.02,0.03,5,bad,step3_deadband_effect,15800,0.7553797468354431,0.07221518987341773,0.17240506329113925
0.02,0.03,5,bad,step4_knn,15800,0.6815822784810126,0.018734177215189874,0.29968354430379746
0.02,0.05,5,good,step2_deadband,15800,0.7856329113924051,0.14563291139240506,0.06873417721518987
0.02,0.05,5,good,step3_deadband_effect,15800,0.6429746835443038,0.0839873417721519,0.2730379746835443
0.02,0.05,5,good,step4_knn,15800,0.5904430379746836,0.020126582278481013,0.3894303797468354
0.02,0.05,5,bad,step2_deadband,15800,0.819746835443038,0.11120253164556962,0.0690506329113924
0.02,0.05,5,bad,step3_deadband_effect,15800,0.7056962025316456,0.054177215189873416,0.24012658227848102
0.02,0.05,5,bad,step4_knn,15800,0.5875949367088608,0.009240506329113924,0.4031645569620253
0.05,0.0,5,good,step2_deadband,15800,0.7063291139240506,0.10563291139240506,0.1880379746835443
0.05,0.0,5,good,step3_deadband_effect,15800,0.7063291139240506,0.10563291139240506,0.1880379746835443
0.05,0.0,5,good,step4_knn,15800,0.679873417721519,0.03322784810126582,0.2868987341772152
0.05,0.0,5,bad,step2_deadband,15800,0.7553797468354431,0.07221518987341773,0.17240506329113925
0.05,0.0,5,bad,step3_deadband_effect,15800,0.7553797468354431,0.07221518987341773,0.17240506329113925
0.05,0.0,5,bad,step4_knn,15800,0.6815822784810126,0.018734177215189874,0.29968354430379746
0.05,0.02,5,good,step2_deadband,15800,0.7063291139240506,0.10563291139240506,0.1880379746835443
0.05,0.02,5,good,step3_deadband_effect,15800,0.6429746835443038,0.0839873417721519,0.2730379746835443
0.05,0.02,5,good,step4_knn,15800,0.5904430379746836,0.020126582278481013,0.3894303797468354
0.05,0.02,5,bad,step2_deadband,15800,0.7553797468354431,0.07221518987341773,0.17240506329113925
0.05,0.02,5,bad,step3_deadband_effect,15800,0.7056962025316456,0.054177215189873416,0.24012658227848102
0.05,0.02,5,bad,step4_knn,15800,0.5875949367088608,0.009240506329113924,0.4031645569620253
0.05,0.03,5,good,step2_deadband,15800,0.7063291139240506,0.10563291139240506,0.1880379746835443
0.05,0.03,5,good,step3_deadband_effect,15800,0.6115822784810127,0.07563291139240506,0.31278481012658227
0.05,0.03,5,good,step4_knn,15800,0.5483544303797468,0.015569620253164556,0.4360759493670886
