parent_id,parent_label,score_median,ci_lo_median,ci_hi_median,score_knn,ci_lo_knn,ci_hi_knn,category_baseline,category_step1_calibrated_t,category_step2_deadband,category_step3_deadband_effect,category_step4_knn
00000000000000000001,built_loss,0.44576607785688627,0.4201564236927714,0.4803877417534986,0.5108421933369928,0.48302611979539606,0.5418951515144207,degraded,indistinguishable,indistinguishable,indistinguishable,indistinguishable
00000000000000000011,crop_loss,0.730354391026093,0.49890923785380664,0.8530094721528446,0.5043872394360099,0.46726274703860143,0.5382638180646258,indistinguishable,recovering,indistinguishable,indistinguishable,indistinguishable
0000000000000000002b,crop_loss,0.17517432661647428,0.13674868188634323,0.2436456651301551,0.4254496679762015,0.364770952136399,0.45704386349407833,degraded,degraded,degraded,degraded,indistinguishable
0000000000000000002d,crop_loss,0.48246691519483986,0.448782274145313,0.5225115162013027,0.48954524428893575,0.4654750185854953,0.5182292027054677,indistinguishable,indistinguishable,indistinguishable,indistinguishable,indistinguishable
0000000000000000003a,crop_loss,0.30532775223676484,0.256818507961886,0.3448832531623546,0.3259957607796187,0.27335184239731486,0.37945165720191665,degraded,degraded,degraded,degraded,degraded
00000000000000000049,built_loss,0.4931784321263063,0.47014240980002936,0.5070912163709772,0.38347251387995585,0.2430730239974979,0.5081448489497364,indistinguishable,indistinguishable,indistinguishable,indistinguishable,indistinguishable
0000000000000000004a,built_loss,0.4399635974690063,0.42089817618529696,0.45434363434585145,0.4778145927068017,0.4422411285819672,0.5078538914414259,degraded,degraded,indistinguishable,indistinguishable,indistinguishable
0000000000000000004f,built_loss,0.43387156391440995,0.37182385547136076,0.48427409529271614,0.4310433203834499,0.3964673292569014,0.47313892169303434,degraded,indistinguishable,indistinguishable,indistinguishable,indistinguishable
0000000000000000005a,built_loss,0.4341876403329874,0.40911696713582685,0.45790998283522255,0.48153452309761713,0.4595947986306781,0.4983082228065729,degraded,degraded,indistinguishable,indistinguishable,indistinguishable
00000000000000000079,built_loss,0.610284403541861,0.5754307048621119,0.6613842489629264,0.580518392328766,0.5472426984355638,0.6057596351507007,recovering,recovering,recovering,recovering,recovering
00000000000000000085,built_loss,0.39354638385843327,0.3273469401010886,0.43338893158560404,0.3619157056996091,0.3133019933458136,0.42631865292356647,degraded,degraded,indistinguishable,indistinguishable,degraded
00000000000000000087,built_loss,0.5266498190547633,0.49061401043025293,0.5998688210706178,0.4631409928534489,0.39534694930330555,0.5214236474319267,indistinguishable,recovering,indistinguishable,indistinguishable,indistinguishable
0000000000000000009b,crop_loss,0.4928844914718775,0.48664317179220856,0.49839311443795653,0.5657038907776892,0.521796711503674,0.5962033498053825,degraded,recovering,indistinguishable,indistinguishable,indistinguishable
0000000000000000009d,crop_loss,0.37409344656523735,0.3247912179615556,0.40871595991239934,0.44543576690576414,0.41573454084564604,0.47922677500965144,degraded,degraded,degraded,degraded,indistinguishable
000000000000000000a1,built_loss,0.4493490161217572,0.414184561055474,0.4644045847163838,0.44848120315781415,0.41650199171539304,0.4787272536623419,degraded,degraded,indistinguishable,indistinguishable,indistinguishable
000000000000000000a8,crop_loss,0.2038031154052213,0.19112246541927513,0.22327651296248757,0.39088773897872586,0.33887960940754586,0.4669239181839243,degraded,degraded,degraded,degraded,indistinguishable
000000000000000000b8,built_loss,0.5311818475002759,0.43290419261521584,0.5933763355111561,0.41931688827173474,0.37199290206276314,0.46023656986985095,indistinguishable,indistinguishable,indistinguishable,indistinguishable,indistinguishable
000000000000000000c0,built_loss,0.6135637693591418,0.5596845419629958,0.648624356998335,0.565612925220089,0.545818015049635,0.5889812870808777,recovering,recovering,recovering,recovering,indistinguishable
000000000000000000da,crop_loss,0.7736581409080185,0.7447949964868033,0.7963957130411895,0.6338921706075605,0.5683402055002945,0.6777786881606733,recovering,recovering,recovering,recovering,recovering
000000000000000000e2,built_loss,0.3793295411885945,0.3394390054212373,0.42286140116663407,0.5018360377613612,0.43241321708585795,0.5649785599727509,degraded,degraded,indistinguishable,indistinguishable,indistinguishable
000000000000000000e3,crop_loss,0.47989041138095245,0.43453465855514223,0.5098492486250478,0.46597343776454364,0.42147818889995514,0.5128417549401457,indistinguishable,indistinguishable,indistinguishable,indistinguishable,indistinguishable
000000000000000000e9,crop_loss,0.4038850602527873,0.34825630747990005,0.4690728795905151,0.4633901378046196,0.41834049133008316,0.5016307044476577,degraded,degraded,indistinguishable,indistinguishable,indistinguishable
000000000000000000f0,built_loss,0.6679900963561605,0.6220386501805628,0.7054852948154169,0.5794936622282812,0.5135240060970634,0.6731765541201007,recovering,recovering,recovering,recovering,indistinguishable
000000000000000000f8,built_loss,0.5584459640469653,0.5047493514321226,0.6135080181177119,0.518881184357013,0.48597731974812214,0.5599238522530574,recovering,recovering,indistinguishable,indistinguishable,indistinguishable
