parent_id,parent_label,probe_state,step,n,true_rate,error_rate,abstain_rate,no_data_rate
00000000000000000085,built_loss,good,baseline,100,0.08,0.13,0.79,0.0
00000000000000000114,built_loss,good,baseline,100,0.86,0.09,0.05,0.0
0000000000000000024c,built_loss,good,baseline,100,0.82,0.07,0.11,0.0
00000000000000000375,built_loss,good,baseline,100,0.8,0.14,0.06,0.0
000000000000000004d2,built_loss,good,baseline,100,0.7,0.15,0.15,0.0
000000000000000005bd,built_loss,good,baseline,100,0.73,0.05,0.22,0.0
00000000000000000281,crop_loss,good,baseline,100,0.67,0.0,0.33,0.0
000000000000000003a2,crop_loss,good,baseline,100,0.34,0.51,0.15,0.0
00000000000000000001,built_loss,good,baseline,100,0.68,0.05,0.27,0.0
00000000000000000049,built_loss,good,baseline,100,0.85,0.02,0.13,0.0
0000000000000000004f,built_loss,good,baseline,100,0.24,0.12,0.64,0.0
0000000000000000005a,built_loss,good,baseline,100,0.85,0.14,0.01,0.0
00000000000000000079,built_loss,good,baseline,100,0.48,0.24,0.28,0.0
00000000000000000087,built_loss,good,baseline,100,0.59,0.01,0.4,0.0
000000000000000000a1,built_loss,good,baseline,100,0.88,0.08,0.04,0.0
000000000000000000b8,built_loss,good,baseline,100,0.83,0.09,0.08,0.0
000000000000000000c0,built_loss,good,baseline,100,0.81,0.16,0.03,0.0
000000000000000000e2,built_loss,good,baseline,100,0.82,0.11,0.07,0.0
000000000000000000f0,built_loss,good,baseline,100,0.66,0.13,0.21,0.0
000000000000000000f8,built_loss,good,baseline,100,0.38,0.13,0.49,0.0
0000000000000000011c,built_loss,good,baseline,100,0.98,0.01,0.01,0.0
00000000000000000161,built_loss,good,baseline,100,0.8,0.13,0.07,0.0
0000000000000000016a,built_loss,good,baseline,100,0.69,0.18,0.13,0.0
00000000000000000176,built_loss,good,baseline,100,0.9,0.07,0.03,0.0
000000000000000001a8,built_loss,good,baseline,100,0.46,0.27,0.27,0.0
000000000000000001cd,built_loss,good,baseline,100,0.74,0.16,0.1,0.0
000000000000000001e5,built_loss,good,baseline,100,0.8,0.05,0.15,0.0
00000000000000000209,built_loss,good,baseline,100,0.42,0.3,0.28,0.0
00000000000000000231,built_loss,good,baseline,100,0.31,0.3,0.39,0.0
0000000000000000026d,built_loss,good,baseline,100,0.69,0.21,0.1,0.0
00000000000000000278,built_loss,good,baseline,100,0.95,0.0,0.05,0.0
00000000000000000293,built_loss,good,baseline,100,0.82,0.07,0.11,0.0
00000000000000000316,built_loss,good,baseline,100,0.94,0.05,0.01,0.0
00000000000000000356,built_loss,good,baseline,100,0.18,0.0,0.82,0.0
00000000000000000362,built_loss,good,baseline,100,0.56,0.02,0.42,0.0
00000000000000000363,built_loss,good,baseline,100,0.73,0.1,0.17,0.0
00000000000000000364,built_loss,good,baseline,100,0.76,0.14,0.1,0.0
00000000000000000380,built_loss,good,baseline,100,0.46,0.1,0.44,0.0
00000000000000000384,built_loss,good,baseline,100,0.65,0.18,0.17,0.0
0000000000000000039e,built_loss,good,baseline,100,0.32,0.24,0.44,0.0
000000000000000003a1,built_loss,good,baseline,100,0.72,0.19,0.09,0.0
000000000000000003a5,built_loss,good,baseline,100,0.55,0.36,0.09,0.0
000000000000000003b7,built_loss,good,baseline,100,0.86,0.01,0.13,0.0
000000000000000003bf,built_loss,good,baseline,100,0.33,0.37,0.3,0.0
000000000000000003d2,built_loss,good,baseline,100,0.74,0.11,0.15,0.0
000000000000000003f8,built_loss,good,baseline,100,0.85,0.12,0.03,0.0
000000000000000003fa,built_loss,good,baseline,100,0.94,0.05,0.01,0.0
00000000000000000407,built_loss,good,baseline,100,0.91,0.08,0.01,0.0
0000000000000000040f,built_loss,good,baseline,100,0.62,0.24,0.14,0.0
00000000000000000426,built_loss,good,baseline,100,0.44,0.17,0.39,0.0
0000000000000000042b,built_loss,good,baseline,100,0.56,0.34,0.1,0.0
