parent_id,parent_label,min_dist_m,n_good,n_bad,m_g,m_b,dor
00000000000000000001,built_loss,0,200,200,0.06029474272301534,0.0629725057481553,0.5108616159496109
00000000000000000001,built_loss,500,194,197,0.06628203175046728,0.0629725057481553,0.4871976409210328
00000000000000000001,built_loss,1000,177,192,0.07045486485113957,0.0629725057481553,0.471960928742278
00000000000000000001,built_loss,2000,120,139,0.07363278642859102,0.06606208409995058,0.47290271897263597
00000000000000000049,built_loss,0,200,200,0.10009366713229625,0.007913404489284837,0.07326746638347315
00000000000000000049,built_loss,500,198,174,0.10009366713229617,0.1341509242293669,0.5726959305611937
00000000000000000049,built_loss,1000,187,173,0.10009366713229617,0.1341509242293669,0.5726959305611937
00000000000000000049,built_loss,2000,146,68,0.10009366713229617,0.1679702941077544,0.6266052822994391
0000000000000000004a,built_loss,0,200,200,0.21144775881769054,0.09538639527644414,0.3108728086602425
0000000000000000004a,built_loss,500,198,183,0.21144775881769054,0.177598488916606,0.4564971130050389
0000000000000000004a,built_loss,1000,184,69,0.21144775881769054,0.24175387775317275,0.533435579760618
0000000000000000004f,built_loss,0,200,200,0.02804758243613239,0.021276171429244074,0.4313575054908349
0000000000000000004f,built_loss,500,200,194,0.02804758243613239,0.021276171429244074,0.4313575054908349
0000000000000000004f,built_loss,1000,186,185,0.02804758243613239,0.021276171429244074,0.4313575054908349
0000000000000000004f,built_loss,2000,128,130,0.0299940276015916,0.027914467559653877,0.48204443029376515
0000000000000000005a,built_loss,0,200,200,0.15162219236368618,0.13335457675887494,0.4679489390275692
0000000000000000005a,built_loss,500,193,197,0.1705201763959166,0.13335457675887494,0.43884717428468395
0000000000000000005a,built_loss,1000,181,195,0.1705201763959166,0.15382005256130976,0.4742552382582215
0000000000000000005a,built_loss,2000,129,124,0.1787858137883756,0.15382005256130976,0.4624694514531758
00000000000000000079,built_loss,0,164,158,0.07800324967785614,0.14586703233796242,0.6515694312968434
00000000000000000079,built_loss,500,161,155,0.07800324967785614,0.14586703233796242,0.6515694312968434
00000000000000000079,built_loss,1000,151,149,0.07800324967785614,0.14586703233796242,0.6515694312968434
00000000000000000079,built_loss,2000,110,107,0.07800324967785614,0.14586703233796242,0.6515694312968434
00000000000000000085,built_loss,0,200,200,0.08365368684015355,0.02260258669528705,0.2127176677952619
00000000000000000085,built_loss,500,196,155,0.08494758833192448,0.06772782083705939,0.44360661094841686
00000000000000000085,built_loss,1000,185,97,0.08494758833192448,0.06997166400509972,0.4516653866391369
00000000000000000087,built_loss,0,200,200,0.0433150768657085,0.02979524278471777,0.4075381276784844
00000000000000000087,built_loss,500,200,189,0.0433150768657085,0.041554870774794805,0.4896299800999705
00000000000000000087,built_loss,1000,193,169,0.0433150768657085,0.04974522494135234,0.5345482872380221
00000000000000000087,built_loss,2000,152,105,0.051002823938557415,0.05544476873021988,0.5208644680412938
000000000000000000a1,built_loss,0,200,200,0.10738258948173171,0.072737042995845,0.4038262903101153
000000000000000000a1,built_loss,500,195,197,0.10738258948173171,0.072737042995845,0.4038262903101153
000000000000000000a1,built_loss,1000,190,155,0.10738258948173171,0.072737042995845,0.4038262903101153
000000000000000000b8,built_loss,0,200,200,0.05469100768548163,0.02656825700967873,0.32695665053112555
000000000000000000b8,built_loss,500,195,173,0.05469100768548163,0.04039016967998177,0.42479669266514575
000000000000000000b8,built_loss,1000,179,81,0.05478221941316175,0.053502578600340155,0.4940913182769652
000000000000000000c0,built_loss,0,200,200,0.10586400466131632,0.16967544520107994,0.6157936559908197
000000000000000000c0,built_loss,500,191,199,0.10899649656796861,0.16967544520107994,0.6088716507422584
000000000000000000c0,built_loss,1000,171,181,0.11097037228013369,0.16967544520107994,0.604589253185052
000000000000000000c0,built_loss,2000,134,114,0.11097037228013369,0.20696186272497963,0.650962186080314
000000000000000000e2,built_loss,0,200,200,0.041661274751568736,0.05429660666712279,0.5658379057958295
