dataset,parent_id,parent_label,n_bad,n_good,n_eff_300m_bad,n_eff_300m_good,n_eff_min_300m,n_min
candidate,00000000000000000001,built_loss,100,100,24.68755108095106,53.40367065986253,24.68755108095106,100
candidate,00000000000000000011,crop_loss,100,100,41.720176646150165,42.843522226922,41.720176646150165,100
candidate,0000000000000000002b,crop_loss,100,100,43.110327625330115,50.46600276465267,43.110327625330115,100
candidate,0000000000000000002d,crop_loss,100,100,55.19588612084404,47.70230176618012,47.70230176618012,100
candidate,0000000000000000003a,crop_loss,100,100,55.42359208044956,41.73287245579852,41.73287245579852,100
candidate,00000000000000000049,built_loss,100,100,3.902480648129869,39.25934367250334,3.902480648129869,100
candidate,0000000000000000004a,built_loss,100,100,10.883412641781062,59.76936713712576,10.883412641781062,100
candidate,0000000000000000004f,built_loss,100,100,36.94849934224143,55.49520009563406,36.94849934224143,100
candidate,0000000000000000005a,built_loss,100,100,29.856324197316944,44.1454732199531,29.856324197316944,100
candidate,00000000000000000079,built_loss,100,100,54.80831204539749,55.86274014773303,54.80831204539749,100
candidate,00000000000000000085,built_loss,100,100,13.97136954699318,40.512135957674246,13.97136954699318,100
candidate,00000000000000000087,built_loss,100,100,42.449432032911275,49.81324720894204,42.449432032911275,100
candidate,0000000000000000009b,crop_loss,100,100,16.269236157970333,38.860911061632585,16.269236157970333,100
candidate,0000000000000000009d,crop_loss,100,100,6.7188025307922095,55.34607601018082,6.7188025307922095,100
candidate,000000000000000000a1,built_loss,100,100,8.048415218987508,58.83652567245836,8.048415218987508,100
candidate,000000000000000000a8,crop_loss,100,100,29.121364382904112,53.09151530004407,29.121364382904112,100
candidate,000000000000000000b8,built_loss,100,100,10.427906289538884,56.9106132835218,10.427906289538884,100
candidate,000000000000000000c0,built_loss,100,100,35.702208827269814,35.60683824499245,35.60683824499245,100
candidate,000000000000000000da,crop_loss,100,100,54.808123094122976,24.196919532370902,24.196919532370902,100
candidate,000000000000000000e2,built_loss,100,100,20.101611870001165,58.77748040583518,20.101611870001165,100
candidate,000000000000000000e3,crop_loss,100,100,48.21096710206727,49.57091214254816,48.21096710206727,100
candidate,000000000000000000e9,crop_loss,100,100,4.871753050149832,49.4332182980849,4.871753050149832,100
candidate,000000000000000000f0,built_loss,100,100,31.083134644957603,55.167299204898164,31.083134644957603,100
candidate,000000000000000000f8,built_loss,100,100,47.241123872055944,59.637241919577,47.241123872055944,100
candidate,00000000000000000114,built_loss,100,100,28.924430750782847,30.2247782952027,28.924430750782847,100
candidate,0000000000000000011b,crop_loss,100,100,28.054908436011587,60.55433484422059,28.054908436011587,100
candidate,0000000000000000011c,built_loss,100,100,6.656370214643898,57.47682417863579,6.656370214643898,100
candidate,00000000000000000128,crop_loss,100,100,35.43264682880962,32.579226932409384,32.579226932409384,100
candidate,00000000000000000151,built_loss,100,100,8.560015859531886,54.18673297028615,8.560015859531886,100
candidate,00000000000000000161,built_loss,100,100,35.06073569563911,47.3224185885913,35.06073569563911,100
candidate,0000000000000000016a,built_loss,100,100,8.56641911721586,49.73451440245734,8.56641911721586,100
candidate,0000000000000000016c,crop_loss,100,100,41.06181775049809,46.58636727295377,41.06181775049809,100
candidate,00000000000000000176,built_loss,100,100,22.10448153078249,54.896615870491445,22.10448153078249,100
candidate,00000000000000000192,crop_loss,100,100,43.97860155269017,52.65023973147211,43.97860155269017,100
candidate,00000000000000000196,crop_loss,100,100,24.62948079138347,52.51530947668928,24.62948079138347,100
candidate,000000000000000001a6,crop_loss,100,100,32.13019084617217,54.96945305186329,32.13019084617217,100
candidate,000000000000000001a8,built_loss,100,100,42.7716363521001,50.98038021943219,42.7716363521001,100
candidate,000000000000000001be,built_loss,100,100,6.206408523138023,42.544141862127724,6.206408523138023,100
candidate,000000000000000001cd,built_loss,100,100,53.01478140470643,50.4253800487741,50.4253800487741,100
candidate,000000000000000001e4,crop_loss,100,100,49.21522308500118,35.992029131834855,35.992029131834855,100
candidate,000000000000000001e5,built_loss,100,100,20.772110637384245,29.895203297616696,20.772110637384245,100
candidate,000000000000000001f9,crop_loss,100,100,41.08542647611892,45.72351505185704,41.08542647611892,100
candidate,00000000000000000206,built_loss,100,100,48.58557242725382,36.369033394744434,36.369033394744434,100
candidate,00000000000000000209,built_loss,100,100,48.46837868547684,52.187917434055876,48.46837868547684,100
candidate,00000000000000000228,crop_loss,100,100,23.846006516450426,53.259120678395476,23.846006516450426,100
