parent_id,lon,lat,country_iso3,vote_dw,vote_wc100,vote_wc200,vote_worldcereal,vote_vida,vote_msbuildings,n_nature,n_crop,n_built,stable_class
00000000000000000007,21.20387888212139,38.393231675276844,GRC,crop,crop,nature,unknown,unknown,unknown,1,2,0,crop
00000000000000000008,112.26412293969221,29.863817884090402,CHN,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
00000000000000000015,125.43701826602089,45.431801420938534,CHN,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
00000000000000000019,103.333521542618,1.9758893831850934,MYS,built,nature,nature,unknown,unknown,unknown,2,0,1,nature
00000000000000000020,-3.728143176388632,55.149955827600344,GBR,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000025,-64.47734308567016,-34.01726843174542,ARG,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
00000000000000000026,107.18792293218962,-6.817539270004079,IDN,built,built,built,unknown,unknown,unknown,0,0,3,built
00000000000000000028,23.443648380016594,-4.977789568127299,COD,built,built,built,unknown,unknown,unknown,0,0,3,built
0000000000000000002c,-88.35357519075451,18.260728516760604,BLZ,crop,nature,nature,unknown,unknown,unknown,2,1,0,nature
00000000000000000037,34.66450459395354,64.95892990948663,RUS,built,nature,nature,unknown,unknown,unknown,2,0,1,nature
0000000000000000003c,-3.8904687482290297,54.99697273471479,GBR,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000004b,137.9489332062944,35.81578546208112,JPN,built,crop,crop,unknown,unknown,unknown,0,2,1,crop
00000000000000000054,74.49436698735853,20.311222984291824,IND,built,built,built,unknown,unknown,unknown,0,0,3,built
00000000000000000058,105.22600235167259,15.172769727599748,THA,built,nature,built,unknown,unknown,unknown,1,0,2,built
00000000000000000062,18.3554109477068,-34.04349923804171,ZAF,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000063,114.10486078838153,35.41010627977274,CHN,built,crop,crop,unknown,unknown,unknown,0,2,1,crop
0000000000000000006e,-62.86684344430068,-32.88188774414676,ARG,crop,built,crop,unknown,unknown,unknown,0,2,1,crop
00000000000000000078,97.06256220723644,35.48331897542848,CHN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000082,100.61548898745757,13.680937535262458,THA,built,built,built,unknown,unknown,unknown,0,0,3,built
00000000000000000092,-1.257596482003124,34.903276796472504,DZA,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000099,111.43192366048389,-0.1411702468993828,IDN,unknown,nature,nature,unknown,unknown,unknown,2,0,0,nature
000000000000000000b0,-0.33888944093408946,41.79362452025447,ESP,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
000000000000000000c4,33.3234097062915,-11.481053235982163,MWI,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000000c6,-40.3018821594456,-7.663842099173079,BRA,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000000db,7.537898296339523,44.11693733957279,FRA,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000000dc,-9.121628142242239,31.509890810711013,MAR,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
000000000000000000f9,99.46474710850046,2.9157966649593487,IDN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000000fc,-103.73345150710801,51.20347712140646,CAN,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
00000000000000000102,35.20241578608431,-18.216172078668276,MOZ,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000115,74.71714917782018,27.05298936008042,IND,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
