probe_state,step,parent_label,n,true_rate,error_rate,abstain_rate,no_data_rate,brier
good,baseline,all,146985,0.6542436303024118,0.1432799265231146,0.20247644317447358,0.0,0.18383990179689574
good,baseline,stable_built,23487,0.757951207050709,0.11261548941967897,0.12943330352961213,0.0,0.16514486595669609
good,baseline,stable_crop,52425,0.5876204101096805,0.17527896995708153,0.23710061993323797,0.0,0.2021291528177966
good,baseline,stable_nature,71073,0.6691148537419274,0.129810195151464,0.2010749511066087,0.0,0.17652736851432774
good,step1_calibrated_t,all,146985,0.7229717318093684,0.10541892029798959,0.1716093478926421,0.0,0.18383990179689574
good,step1_calibrated_t,stable_built,23487,0.8098522586963001,0.08532379614254694,0.10482394516115298,0.0,0.16514486595669609
good,step1_calibrated_t,stable_crop,52425,0.7046065808297568,0.10947067238912732,0.18592274678111587,0.0,0.2021291528177966
good,step1_calibrated_t,stable_nature,71073,0.7078074655635754,0.10907095521506058,0.18312157922136396,0.0,0.17652736851432774
good,step2_deadband,all,146985,0.5780249685342042,0.05818961118481478,0.36378542028098104,0.0,0.18383990179689574
good,step2_deadband,stable_built,23487,0.7063056158726104,0.04823945161152978,0.24545493251585984,0.0,0.16514486595669609
good,step2_deadband,stable_crop,52425,0.546971864568431,0.06176442536957558,0.39126371006199334,0.0,0.2021291528177966
good,step2_deadband,stable_nature,71073,0.5585384041759881,0.058840910050230046,0.3826206857737819,0.0,0.17652736851432774
good,step3_deadband_effect,all,146985,0.5702350579991156,0.057407218423648675,0.3723577235772358,0.0,0.18383990179689574
good,step3_deadband_effect,stable_built,23487,0.6992378762719802,0.047302763230723376,0.2534593604972964,0.0,0.16514486595669609
good,step3_deadband_effect,stable_crop,52425,0.5364043872198379,0.06113495469718646,0.40246065808297565,0.0,0.2021291528177966
good,step3_deadband_effect,stable_nature,71073,0.5525586368944606,0.057996707610485,0.38944465549505436,0.0,0.17652736851432774
good,step4_knn,all,146985,0.5933462598224308,0.016403034323230262,0.3849508453243528,0.005299860529986053,0.1333300604079066
good,step4_knn,stable_built,23487,0.6505726572146294,0.022012176948950482,0.32741516583642016,0.0,0.12611027428020308
good,step4_knn,stable_crop,52425,0.5514544587505961,0.015317119694802098,0.43322842155460184,0.0,0.14307596106192677
good,step4_knn,stable_nature,71073,0.6053353594191887,0.015350414362697509,0.3683536645420905,0.010960561676023243,0.1284739172803903
good,step4_knn_v3t,all,146985,0.5934347042215192,0.016355410416028848,0.3849100248324659,0.005299860529986053,0.1333300604079066
good,step4_knn_v3t,stable_built,23487,0.6698173457657427,0.019202111806531273,0.310980542427726,0.0,0.12611027428020308
good,step4_knn_v3t,stable_crop,52425,0.5425846447305674,0.016461611826418695,0.44095374344301386,0.0,0.14307596106192677
good,step4_knn_v3t,stable_nature,71073,0.6057011804764115,0.015336344322035091,0.3680019135255301,0.010960561676023243,0.1284739172803903
bad,baseline,all,144922,0.8004926788203309,0.05563682532672748,0.1438704958529416,0.0,0.13271160976913252
bad,baseline,stable_built,23540,0.868606627017842,0.04324553950722175,0.08814783347493628,0.0,0.12403008980178085
bad,baseline,stable_crop,52376,0.8118031159309608,0.046395295555216126,0.14180158851382313,0.0,0.12594303268299298
bad,baseline,stable_nature,69006,0.7686722893661421,0.06687824247166912,0.1644494681621888,0.0,0.14081052831962237
bad,step1_calibrated_t,all,144922,0.7411918135272767,0.08301707125212184,0.17579111522060142,0.0,0.13271160976913252
bad,step1_calibrated_t,stable_built,23540,0.8219201359388275,0.0637213254035684,0.11435853865760408,0.0,0.12403008980178085
bad,step1_calibrated_t,stable_crop,52376,0.7161486176874905,0.0909195051168474,0.19293187719566213,0.0,0.12594303268299298
bad,step1_calibrated_t,stable_nature,69006,0.7326609280352433,0.08360142596295975,0.18373764600179696,0.0,0.14081052831962237
bad,step2_deadband,all,144922,0.6019789955976318,0.03612978015760202,0.36189122424476616,0.0,0.13271160976913252
bad,step2_deadband,stable_built,23540,0.6976635514018692,0.031096006796941376,0.27124044180118945,0.0,0.12403008980178085
bad,step2_deadband,stable_crop,52376,0.5774591415915686,0.037440812585917214,0.3851000458225141,0.0,0.12594303268299298
bad,step2_deadband,stable_nature,69006,0.5879488740109555,0.03685186795351129,0.37519925803553317,0.0,0.14081052831962237
bad,step3_deadband_effect,all,144922,0.5987220711831192,0.035212045100122824,0.36606588371675797,0.0,0.13271160976913252
bad,step3_deadband_effect,stable_built,23540,0.6929906542056075,0.030713678844519966,0.27629566694987256,0.0,0.12403008980178085
