parent_id,parent_label,min_dist_m,n_good,n_bad,n_min
0000000000000000000b,stable_nature,0,100,100,100
0000000000000000000b,stable_nature,30,100,100,100
0000000000000000000b,stable_nature,50,100,100,100
0000000000000000000b,stable_nature,100,99,100,99
0000000000000000000b,stable_nature,200,99,100,99
0000000000000000000b,stable_nature,300,99,99,99
0000000000000000000b,stable_nature,500,99,98,98
0000000000000000000b,stable_nature,1000,85,82,82
0000000000000000001a,stable_nature,0,100,100,100
0000000000000000001a,stable_nature,30,100,100,100
0000000000000000001a,stable_nature,50,100,100,100
0000000000000000001a,stable_nature,100,100,100,100
0000000000000000001a,stable_nature,200,99,99,99
0000000000000000001a,stable_nature,300,99,98,98
0000000000000000001a,stable_nature,500,97,90,90
0000000000000000001a,stable_nature,1000,85,81,81
000000000000000003ad,stable_nature,0,100,100,100
000000000000000003ad,stable_nature,30,100,100,100
000000000000000003ad,stable_nature,50,100,100,100
000000000000000003ad,stable_nature,100,100,99,99
000000000000000003ad,stable_nature,200,100,96,96
000000000000000003ad,stable_nature,300,100,95,95
000000000000000003ad,stable_nature,500,98,93,93
000000000000000003ad,stable_nature,1000,83,83,83
00000000000000000330,stable_built,0,100,100,100
00000000000000000330,stable_built,30,100,100,100
00000000000000000330,stable_built,50,100,100,100
00000000000000000330,stable_built,100,100,100,100
00000000000000000330,stable_built,200,99,99,99
00000000000000000330,stable_built,300,99,99,99
00000000000000000330,stable_built,500,97,98,97
00000000000000000330,stable_built,1000,90,91,90
00000000000000000496,stable_built,0,100,100,100
00000000000000000496,stable_built,30,100,100,100
00000000000000000496,stable_built,50,100,100,100
00000000000000000496,stable_built,100,100,100,100
00000000000000000496,stable_built,200,99,100,99
00000000000000000496,stable_built,300,96,100,96
00000000000000000496,stable_built,500,94,100,94
00000000000000000496,stable_built,1000,82,93,82
00000000000000000647,stable_built,0,100,100,100
00000000000000000647,stable_built,30,100,100,100
00000000000000000647,stable_built,50,100,100,100
00000000000000000647,stable_built,100,100,100,100
00000000000000000647,stable_built,200,98,99,98
00000000000000000647,stable_built,300,97,99,97
00000000000000000647,stable_built,500,93,91,91
00000000000000000647,stable_built,1000,75,78,75
00000000000000000649,stable_built,0,100,100,100
00000000000000000649,stable_built,30,100,100,100
00000000000000000649,stable_built,50,100,100,100
00000000000000000649,stable_built,100,100,100,100
00000000000000000649,stable_built,200,100,99,99
00000000000000000649,stable_built,300,99,97,97
00000000000000000649,stable_built,500,97,89,89
00000000000000000649,stable_built,1000,91,61,61
00000000000000000354,stable_nature,0,100,100,100
00000000000000000354,stable_nature,30,100,100,100
00000000000000000354,stable_nature,50,100,100,100
00000000000000000354,stable_nature,100,100,100,100
00000000000000000354,stable_nature,200,99,100,99
00000000000000000354,stable_nature,300,97,100,97
00000000000000000354,stable_nature,500,91,100,91
00000000000000000354,stable_nature,1000,69,97,69
00000000000000000512,stable_nature,0,100,100,100
00000000000000000512,stable_nature,30,100,100,100
00000000000000000512,stable_nature,50,99,100,99
00000000000000000512,stable_nature,100,99,100,99
00000000000000000512,stable_nature,200,98,100,98
00000000000000000512,stable_nature,300,95,100,95
00000000000000000512,stable_nature,500,86,99,86
00000000000000000512,stable_nature,1000,62,86,62
00000000000000000259,stable_built,0,100,100,100
00000000000000000259,stable_built,30,100,97,97
00000000000000000259,stable_built,50,100,94,94
00000000000000000259,stable_built,100,100,85,85
00000000000000000259,stable_built,200,100,68,68
00000000000000000259,stable_built,300,98,44,44
00000000000000000259,stable_built,500,94,9,9
00000000000000000259,stable_built,1000,76,0,0
000000000000000000bf,stable_nature,0,100,0,0
000000000000000000bf,stable_nature,30,100,0,0
000000000000000000bf,stable_nature,50,100,0,0
000000000000000000bf,stable_nature,100,99,0,0
000000000000000000bf,stable_nature,200,99,0,0
000000000000000000bf,stable_nature,300,99,0,0
000000000000000000bf,stable_nature,500,97,0,0
000000000000000000bf,stable_nature,1000,86,0,0
000000000000000001f7,stable_nature,0,100,0,0
000000000000000001f7,stable_nature,30,100,0,0
000000000000000001f7,stable_nature,50,100,0,0
000000000000000001f7,stable_nature,100,100,0,0
000000000000000001f7,stable_nature,200,100,0,0
000000000000000001f7,stable_nature,300,100,0,0
000000000000000001f7,stable_nature,500,99,0,0
000000000000000001f7,stable_nature,1000,92,0,0
00000000000000000236,stable_nature,0,100,0,0
00000000000000000236,stable_nature,30,100,0,0
00000000000000000236,stable_nature,50,100,0,0
00000000000000000236,stable_nature,100,100,0,0
00000000000000000236,stable_nature,200,100,0,0
00000000000000000236,stable_nature,300,100,0,0
00000000000000000236,stable_nature,500,99,0,0
00000000000000000236,stable_nature,1000,95,0,0
00000000000000000289,stable_nature,0,100,17,17
00000000000000000289,stable_nature,30,100,17,17
00000000000000000289,stable_nature,50,100,17,17
00000000000000000289,stable_nature,100,100,17,17
00000000000000000289,stable_nature,200,100,17,17
00000000000000000289,stable_nature,300,100,17,17
00000000000000000289,stable_nature,500,99,17,17
00000000000000000289,stable_nature,1000,90,17,17
00000000000000000315,stable_nature,0,100,0,0
00000000000000000315,stable_nature,30,100,0,0
00000000000000000315,stable_nature,50,100,0,0
00000000000000000315,stable_nature,100,100,0,0
00000000000000000315,stable_nature,200,100,0,0
00000000000000000315,stable_nature,300,100,0,0
00000000000000000315,stable_nature,500,98,0,0
00000000000000000315,stable_nature,1000,90,0,0
000000000000000003a0,stable_nature,0,100,0,0
000000000000000003a0,stable_nature,30,100,0,0
000000000000000003a0,stable_nature,50,100,0,0
000000000000000003a0,stable_nature,100,100,0,0
000000000000000003a0,stable_nature,200,100,0,0
000000000000000003a0,stable_nature,300,100,0,0
000000000000000003a0,stable_nature,500,98,0,0
000000000000000003a0,stable_nature,1000,91,0,0
00000000000000000425,stable_nature,0,100,0,0
00000000000000000425,stable_nature,30,100,0,0
00000000000000000425,stable_nature,50,100,0,0
00000000000000000425,stable_nature,100,100,0,0
00000000000000000425,stable_nature,200,99,0,0
00000000000000000425,stable_nature,300,98,0,0
00000000000000000425,stable_nature,500,98,0,0
00000000000000000425,stable_nature,1000,92,0,0
0000000000000000048e,stable_nature,0,100,0,0
0000000000000000048e,stable_nature,30,100,0,0
0000000000000000048e,stable_nature,50,99,0,0
0000000000000000048e,stable_nature,100,99,0,0
0000000000000000048e,stable_nature,200,99,0,0
0000000000000000048e,stable_nature,300,99,0,0
0000000000000000048e,stable_nature,500,99,0,0
0000000000000000048e,stable_nature,1000,88,0,0
000000000000000004fa,stable_nature,0,100,0,0
000000000000000004fa,stable_nature,30,100,0,0
