parent_label,min_dist_m,n_sites,median_n_good,p25_n_good,p10_n_good,median_n_bad,p25_n_bad,p10_n_bad,median_n_min,p25_n_min,p10_n_min,frac_pass_5,frac_pass_30,frac_pass_100
stable_built,0,236,300.0,300.0,299.5,300.0,300.0,286.5,300.0,300.0,260.5,1.0,1.0,1.0
stable_built,30,236,300.0,300.0,299.0,300.0,299.0,286.5,300.0,297.0,260.5,1.0,1.0,1.0
stable_built,50,236,300.0,300.0,299.0,300.0,297.0,281.0,299.0,294.0,260.5,1.0,1.0,1.0
stable_built,100,236,300.0,300.0,297.5,299.0,292.0,269.5,298.0,287.75,257.5,1.0,1.0,1.0
stable_built,200,236,300.0,299.0,296.0,296.5,283.0,248.0,295.0,275.0,243.0,1.0,1.0,1.0
stable_built,300,236,299.0,297.0,293.0,293.0,274.75,225.5,291.0,262.75,224.0,1.0,1.0,1.0
stable_built,500,236,296.0,293.0,285.0,285.0,253.0,178.0,282.0,246.0,178.0,1.0,1.0,0.9957627118644068
stable_built,1000,236,284.0,276.0,264.0,250.5,196.5,102.0,247.5,196.5,102.0,1.0,1.0,0.9957627118644068
stable_built,2000,236,236.0,218.75,191.5,173.5,100.0,100.0,165.5,100.0,100.0,1.0,1.0,0.9915254237288136
stable_built,3000,236,156.0,129.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,0.9915254237288136
stable_built,4000,236,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,0.9915254237288136
stable_built,5000,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00423728813559322,0.0,0.0
stable_built,6000,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stable_crop,0,528,300.0,300.0,260.0,300.0,300.0,300.0,300.0,294.75,253.7,1.0,1.0,1.0
stable_crop,30,528,300.0,300.0,260.0,300.0,300.0,299.7,300.0,294.75,253.7,1.0,1.0,1.0
stable_crop,50,528,300.0,300.0,260.0,300.0,300.0,299.0,300.0,294.75,253.7,1.0,1.0,1.0
stable_crop,100,528,300.0,299.0,260.0,300.0,299.0,298.0,299.0,293.75,253.7,1.0,1.0,1.0
stable_crop,200,528,300.0,298.0,260.0,299.0,297.0,294.0,298.0,290.75,253.0,1.0,1.0,1.0
stable_crop,300,528,299.0,296.0,260.0,298.0,295.0,290.0,296.0,287.0,251.0,1.0,1.0,1.0
stable_crop,500,528,296.0,291.0,256.7,294.0,289.0,279.0,291.0,279.0,243.0,1.0,1.0,1.0
stable_crop,1000,528,284.0,275.75,249.7,278.0,268.0,245.4,273.0,255.0,225.7,1.0,1.0,1.0
stable_crop,2000,528,237.5,219.0,199.7,224.0,198.0,153.0,213.0,190.0,148.4,1.0,1.0,0.9981060606060606
stable_crop,3000,528,163.0,139.0,110.7,139.5,100.0,100.0,126.5,100.0,100.0,1.0,1.0,0.9981060606060606
stable_crop,4000,528,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,0.9981060606060606
stable_crop,5000,528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stable_crop,6000,528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stable_nature,0,788,300.0,300.0,300.0,300.0,245.25,2.700000000000003,300.0,239.75,2.700000000000003,0.8972081218274112,0.883248730964467,0.8692893401015228
stable_nature,30,788,300.0,300.0,300.0,300.0,245.25,2.700000000000003,300.0,239.75,2.700000000000003,0.8972081218274112,0.883248730964467,0.8692893401015228
stable_nature,50,788,300.0,300.0,299.0,300.0,245.25,2.700000000000003,300.0,239.75,2.700000000000003,0.8972081218274112,0.883248730964467,0.8692893401015228
stable_nature,100,788,300.0,300.0,299.0,300.0,244.5,2.700000000000003,299.0,239.75,2.700000000000003,0.8972081218274112,0.883248730964467,0.8692893401015228
stable_nature,200,788,299.0,299.0,297.0,298.0,240.75,2.700000000000003,297.0,237.75,2.700000000000003,0.8972081218274112,0.881979695431472,0.868020304568528
stable_nature,300,788,298.0,297.0,294.7,296.0,239.75,2.700000000000003,294.0,234.0,2.700000000000003,0.8972081218274112,0.881979695431472,0.8654822335025381
stable_nature,500,788,296.0,293.0,289.0,292.0,230.75,2.700000000000003,287.0,226.75,2.700000000000003,0.8972081218274112,0.8794416243654822,0.8654822335025381
stable_nature,1000,788,283.0,277.0,265.0,271.0,192.75,2.700000000000003,264.0,189.0,2.700000000000003,0.8972081218274112,0.8781725888324873,0.8629441624365483
stable_nature,2000,788,233.0,219.0,191.7,210.0,112.0,2.0,195.5,103.75,2.0,0.8959390862944162,0.8769035532994924,0.8553299492385786
stable_nature,3000,788,152.0,130.0,100.0,128.0,100.0,2.0,108.0,100.0,2.0,0.8934010152284264,0.8756345177664975,0.8553299492385786
stable_nature,4000,788,100.0,100.0,100.0,100.0,100.0,2.0,100.0,100.0,2.0,0.8921319796954315,0.8743654822335025,0.8553299492385786
stable_nature,5000,788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005076142131979695,0.0,0.0
stable_nature,6000,788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
