parent_id,parent_label,inner_m,outer_m,n_good,n_bad,sim_good,sim_bad,sim_all
00000000000000000023,stable_built,0,1000,0,74,,0.851991459433724,0.851991459433724
00000000000000000023,stable_built,0,2000,19,84,0.9044647060266504,0.8398262369824249,0.8135451498273331
00000000000000000023,stable_built,0,3000,116,101,0.8067570984178004,0.82687131963376,0.7678796358568185
00000000000000000023,stable_built,0,4000,200,130,0.7637748828013227,0.8181210906419967,0.7446181032608681
00000000000000000023,stable_built,0,5000,300,230,0.726980132697655,0.8121942163097504,0.7056680101893407
00000000000000000023,stable_built,0,6000,300,230,0.7214357863702741,0.8145194611720131,0.7064606979079999
00000000000000000023,stable_built,0,7000,300,230,0.7295764098109988,0.8148912257302509,0.7050867779545046
00000000000000000023,stable_built,0,8000,300,230,0.7224677536713996,0.8144579268288377,0.7033717190689529
00000000000000000023,stable_built,500,1000,0,16,,0.8690438353407711,0.8690438353407711
00000000000000000023,stable_built,500,2000,19,26,0.9044647060266504,0.8499809741996798,0.8322940816102008
00000000000000000023,stable_built,500,3000,116,43,0.8077497298476892,0.8473039447048295,0.7949006909423542
00000000000000000023,stable_built,500,4000,200,72,0.7623528437556213,0.847883591708819,0.7582151214792635
00000000000000000023,stable_built,500,5000,300,172,0.7201446490520257,0.8051593503057527,0.7042389961144043
00000000000000000023,stable_built,500,6000,300,172,0.7228020100506607,0.8039837890723522,0.7070849454677136
00000000000000000023,stable_built,500,7000,300,172,0.7182139678410668,0.8050776171560989,0.7004208223824381
00000000000000000023,stable_built,500,8000,300,172,0.7220283917177854,0.8079841428151543,0.7011070622269155
00000000000000000023,stable_built,1000,2000,19,10,0.9044647060266504,0.9032634366507181,0.8676985677564593
00000000000000000023,stable_built,1000,3000,116,27,0.8152923382589694,0.8849166620727147,0.8013160034705675
00000000000000000023,stable_built,1000,4000,200,56,0.7620504706979077,0.8671970450747007,0.7628428356588465
00000000000000000023,stable_built,1000,5000,300,156,0.7239399700100988,0.8010723609792757,0.6991802767597423
00000000000000000023,stable_built,1000,6000,300,156,0.7272680366206815,0.8020812897856654,0.6987508644495012
00000000000000000023,stable_built,1000,7000,300,156,0.7221280344597691,0.8013477698458431,0.700405192638527
00000000000000000023,stable_built,1000,8000,300,156,0.7248899183212367,0.8027686969735933,0.6979598850262478
00000000000000000023,stable_built,2000,3000,97,17,0.8023530166049908,0.8812414417304355,0.7877672166631638
00000000000000000023,stable_built,2000,4000,181,46,0.7478046947077513,0.8612664814445689,0.75396537134901
00000000000000000023,stable_built,2000,5000,281,146,0.7188686784531649,0.80703214945701,0.7000310970966878
00000000000000000023,stable_built,2000,6000,281,146,0.7189972045748522,0.8060755353176262,0.6944155851557863
00000000000000000023,stable_built,2000,7000,281,146,0.7199862838541854,0.8012750070666048,0.6920741080260577
00000000000000000023,stable_built,2000,8000,281,146,0.7244960286919697,0.8072377985368443,0.6967266416685876
00000000000000000023,stable_built,3000,4000,84,29,0.7171045925140154,0.8526478311429724,0.7288956837056217
00000000000000000023,stable_built,3000,5000,184,129,0.7027775291117859,0.8188200483782645,0.6871856788475752
00000000000000000023,stable_built,3000,6000,184,129,0.7037438994520234,0.8156505013753317,0.6842195661980346
00000000000000000023,stable_built,3000,7000,184,129,0.6974000009124401,0.8190823400371018,0.6900321470327773
00000000000000000023,stable_built,3000,8000,184,129,0.7022261747930985,0.8171576990085144,0.6866812896552188
00000000000000000023,stable_built,4000,5000,100,100,0.7076858067246297,0.8666964739409208,0.6925073248541865
00000000000000000023,stable_built,4000,6000,100,100,0.7060917210140555,0.8668685634304758,0.7007011867795342
00000000000000000023,stable_built,4000,7000,100,100,0.7087823056967154,0.8689130398353744,0.697668127244786
00000000000000000023,stable_built,4000,8000,100,100,0.7044214242506802,0.8640701384702839,0.698822991157249
00000000000000000637,stable_crop,0,1000,19,17,0.835406772993852,0.9566496371469873,0.8719969424746024
00000000000000000637,stable_crop,0,2000,68,46,0.8731831322218051,0.9250663405185846,0.8849994568263294
00000000000000000637,stable_crop,0,3000,158,90,0.8914508810158079,0.928541533240466,0.8927301565165966
00000000000000000637,stable_crop,0,4000,200,176,0.8922170299381595,0.9289474626768495,0.8971298636022212
00000000000000000637,stable_crop,0,5000,300,272,0.8903652069937635,0.9276646464017856,0.8961664232726329
00000000000000000637,stable_crop,0,6000,300,276,0.8914533449323535,0.9274372597050071,0.8969661647939291
00000000000000000637,stable_crop,0,7000,300,276,0.8882021794268697,0.9272017248958473,0.8943019912063642
00000000000000000637,stable_crop,0,8000,300,276,0.8902816651177181,0.928006602721847,0.8954125639157693
00000000000000000637,stable_crop,500,1000,19,9,0.835406772993852,0.9647503487476671,0.863556262742623
00000000000000000637,stable_crop,500,2000,68,38,0.8731831322218051,0.9313154664889027,0.8877127824943992
00000000000000000637,stable_crop,500,3000,158,82,0.8915864434663857,0.9329880168200448,0.8945111677775277
00000000000000000637,stable_crop,500,4000,200,168,0.8911439454587198,0.9319001838116615,0.8981523700106686
00000000000000000637,stable_crop,500,5000,300,264,0.891355582659423,0.926151483582774,0.8955682867747624
00000000000000000637,stable_crop,500,6000,300,268,0.8873965350771924,0.927637448329994,0.8958930663381695
00000000000000000637,stable_crop,500,7000,300,268,0.8888743835055988,0.9282527451442107,0.8970038529340635
00000000000000000637,stable_crop,500,8000,300,268,0.8934912386796214,0.9275129688549877,0.8966519079545829
00000000000000000637,stable_crop,1000,2000,49,29,0.8922169633095424,0.9328857193578698,0.899247498477545
00000000000000000637,stable_crop,1000,3000,139,73,0.9021923995022664,0.9334583297313951,0.9037608967032261
00000000000000000637,stable_crop,1000,4000,181,159,0.9001420931631622,0.9317153751119863,0.9032393073303356
00000000000000000637,stable_crop,1000,5000,281,255,0.8947648910344628,0.9267385909943419,0.9004564814512186
00000000000000000637,stable_crop,1000,6000,281,259,0.8947234496402542,0.9277504373645785,0.899868179510376
00000000000000000637,stable_crop,1000,7000,281,259,0.8979832684781414,0.9267256862272248,0.9002410636979781
00000000000000000637,stable_crop,1000,8000,281,259,0.8932629088245599,0.9277922782011591,0.8974667180984989
00000000000000000637,stable_crop,2000,3000,90,44,0.9052949982172545,0.9357558810380852,0.9058560373067558
00000000000000000637,stable_crop,2000,4000,132,130,0.9031480606280418,0.9313852049976208,0.9041243302159961
00000000000000000637,stable_crop,2000,5000,232,226,0.8987154836415315,0.9273107543960102,0.9004666041010484
00000000000000000637,stable_crop,2000,6000,232,230,0.8945240467896285,0.9266621733830809,0.8994754164498041
00000000000000000637,stable_crop,2000,7000,232,230,0.8981021554672015,0.9283307923746744,0.9004245387668414
00000000000000000637,stable_crop,2000,8000,232,230,0.8955358468042803,0.9281749141443448,0.9010616865093004
00000000000000000637,stable_crop,3000,4000,42,86,0.8985192040778901,0.9320562920365427,0.9087129399605098
00000000000000000637,stable_crop,3000,5000,142,182,0.8902464075696486,0.9273741889188006,0.9002019531396778
00000000000000000637,stable_crop,3000,6000,142,186,0.8924864627473824,0.9278318142273975,0.8991801708560889
00000000000000000637,stable_crop,3000,7000,142,186,0.8903447479890705,0.9275747179314634,0.8983282257331962
00000000000000000637,stable_crop,3000,8000,142,186,0.8901113657086137,0.9276753972129529,0.9004823243839997
00000000000000000637,stable_crop,4000,5000,100,96,0.8887416981832785,0.9262613097081691,0.8918943826188218
00000000000000000637,stable_crop,4000,6000,100,100,0.8862759066159495,0.924771364878047,0.8947784925352474
00000000000000000637,stable_crop,4000,7000,100,100,0.8861950552591742,0.9252638429333107,0.8943009226749031
00000000000000000637,stable_crop,4000,8000,100,100,0.8874018759947574,0.9267079404528966,0.8936034163376503
00000000000000000446,stable_built,0,1000,24,10,0.7982678002853838,0.796609684128627,0.7721964251768714
00000000000000000446,stable_built,0,2000,53,115,0.7762459143072046,0.8612251989105085,0.7926688260843471
00000000000000000446,stable_built,0,3000,101,200,0.8143715885988099,0.8613816524843992,0.8115782272036843
00000000000000000446,stable_built,0,4000,197,200,0.8085625325243714,0.8615123807775537,0.7965425043572291
00000000000000000446,stable_built,0,5000,297,300,0.7913788729711093,0.8596844401013107,0.783933879261638
00000000000000000446,stable_built,0,6000,297,300,0.7920837440752945,0.8608150256264477,0.7854844286736509
00000000000000000446,stable_built,0,7000,297,300,0.794091376490413,0.8603150098617641,0.786308474215456
00000000000000000446,stable_built,0,8000,297,300,0.7919507142402756,0.8625514496378873,0.7859523961076775
00000000000000000446,stable_built,500,1000,17,8,0.789501336877117,0.8162180223085583,0.7817251667641688
00000000000000000446,stable_built,500,2000,46,113,0.7742122691676936,0.8645189619140762,0.7993661331537693
00000000000000000446,stable_built,500,3000,94,198,0.8153913097529919,0.8605165740217967,0.814975037168288
00000000000000000446,stable_built,500,4000,190,198,0.8131905038777689,0.8640078634396,0.799316439149786
00000000000000000446,stable_built,500,5000,290,298,0.7945772770951758,0.8608386194367382,0.785872934408501
00000000000000000446,stable_built,500,6000,290,298,0.7914364101279349,0.8616717433003084,0.786542809345824
00000000000000000446,stable_built,500,7000,290,298,0.7933592116381669,0.8611118365989923,0.7861098379847687
00000000000000000446,stable_built,500,8000,290,298,0.7932317627577232,0.8608975154579986,0.7880065122925669
00000000000000000446,stable_built,1000,2000,29,105,0.765786178694239,0.8731233700812683,0.8204714593958425
00000000000000000446,stable_built,1000,3000,77,190,0.8263379918085503,0.8686087724463093,0.8218092193802806
00000000000000000446,stable_built,1000,4000,173,190,0.8158645310773783,0.868292622580891,0.8027291439155578
00000000000000000446,stable_built,1000,5000,273,290,0.7925225619211983,0.8616322779511819,0.7893934793504833
00000000000000000446,stable_built,1000,6000,273,290,0.791612957633224,0.8660873866466984,0.7912053677232864
00000000000000000446,stable_built,1000,7000,273,290,0.7935043266527613,0.8632323074079461,0.7913055453152896
00000000000000000446,stable_built,1000,8000,273,290,0.7939412318170253,0.8638851016946874,0.7905547963146472
00000000000000000446,stable_built,2000,3000,48,85,0.8709135987177886,0.8671663665219165,0.8383935053961963
00000000000000000446,stable_built,2000,4000,144,85,0.8249117996147524,0.8671663665219165,0.8109588795448585
00000000000000000446,stable_built,2000,5000,244,185,0.8007307619398264,0.8630648724037351,0.7868251653043188
00000000000000000446,stable_built,2000,6000,244,185,0.7995091189337427,0.8585779619476487,0.7877795022683456
00000000000000000446,stable_built,2000,7000,244,185,0.7960687173881476,0.8624752098700302,0.7858307192862873
00000000000000000446,stable_built,2000,8000,244,185,0.8005927471146062,0.8606118782652371,0.7857658681369514
00000000000000000446,stable_built,3000,4000,96,0,0.8126831946741234,,0.809208562832379
00000000000000000446,stable_built,3000,5000,196,100,0.787508016462011,0.866330378810856,0.7728490216325301
00000000000000000446,stable_built,3000,6000,196,100,0.7899113101828956,0.864117893012417,0.7694655319898789
00000000000000000446,stable_built,3000,7000,196,100,0.793582656967087,0.8656338340342822,0.7750317251544008
00000000000000000446,stable_built,3000,8000,196,100,0.7920955247723376,0.8628562756058641,0.7764369107134207
00000000000000000446,stable_built,4000,5000,100,100,0.7795027457137157,0.8665738628279839,0.7679980644774762
00000000000000000446,stable_built,4000,6000,100,100,0.7765852121136572,0.865079325220532,0.7709575033735802
00000000000000000446,stable_built,4000,7000,100,100,0.7763092285001126,0.8657847164322424,0.768896830778499
00000000000000000446,stable_built,4000,8000,100,100,0.7775366211274459,0.8647569463056712,0.7719918264580821
000000000000000003da,stable_nature,0,1000,51,19,0.7053332233572063,0.830986888877175,0.6507650399069246
000000000000000003da,stable_nature,0,2000,120,55,0.6689403976727879,0.768202454073283,0.640448634388128
000000000000000003da,stable_nature,0,3000,147,107,0.6645068870035473,0.7574874011554714,0.6218838037865733
000000000000000003da,stable_nature,0,4000,147,171,0.6660619787005334,0.769904936414158,0.6437303743550661
000000000000000003da,stable_nature,0,5000,247,271,0.6187526534467905,0.7261259576646153,0.6074612806787508
000000000000000003da,stable_nature,0,6000,247,271,0.6184977147739966,0.7279499052398044,0.6162314879709611
000000000000000003da,stable_nature,0,7000,247,271,0.623505852282651,0.7256534379022865,0.6107442897856883
000000000000000003da,stable_nature,0,8000,247,271,0.6178213259164769,0.7265573672440951,0.6088276957853346
000000000000000003da,stable_nature,500,1000,43,17,0.6924584344218232,0.8409828539591239,0.6542177943231037
000000000000000003da,stable_nature,500,2000,112,53,0.6706358993252817,0.7739470688276459,0.6493585728590554
000000000000000003da,stable_nature,500,3000,139,105,0.6707599850628705,0.7627415893848839,0.6332546253538196
000000000000000003da,stable_nature,500,4000,139,169,0.6617865485705777,0.7703819724005703,0.6529544084770842
000000000000000003da,stable_nature,500,5000,239,269,0.6178045568175796,0.7270134462833326,0.61542992153858
000000000000000003da,stable_nature,500,6000,239,269,0.6172815126204712,0.7298392939946359,0.6213393118189006
000000000000000003da,stable_nature,500,7000,239,269,0.6217103942956999,0.728519281158339,0.6176818393754797
000000000000000003da,stable_nature,500,8000,239,269,0.622442333659897,0.726789823951029,0.6155166402728413
000000000000000003da,stable_nature,1000,2000,69,36,0.7112607971730964,0.7694006240284369,0.6774071313645587
000000000000000003da,stable_nature,1000,3000,96,88,0.6716405091813332,0.7657088151494322,0.6394773886308747
000000000000000003da,stable_nature,1000,4000,96,152,0.6749195766975195,0.7722148557639578,0.6653511132896175
000000000000000003da,stable_nature,1000,5000,196,252,0.6110205613032075,0.7223884366795731,0.6118375470180116
000000000000000003da,stable_nature,1000,6000,196,252,0.6149740369496465,0.7262190266564191,0.6188277038832025
000000000000000003da,stable_nature,1000,7000,196,252,0.6067632128118375,0.7261592672088611,0.6152961143212448
000000000000000003da,stable_nature,1000,8000,196,252,0.6100769717607535,0.7257801796035911,0.6193310438862554
000000000000000003da,stable_nature,2000,3000,27,52,0.6520502202274191,0.7685276268911674,0.6142233447275685
000000000000000003da,stable_nature,2000,4000,27,116,0.6520502202274191,0.7824044895379157,0.6816297148133802
000000000000000003da,stable_nature,2000,5000,127,216,0.5780461455621793,0.7186204738805898,0.6106428189274883
000000000000000003da,stable_nature,2000,6000,127,216,0.5729355672592112,0.722129626798131,0.6106010839451351
000000000000000003da,stable_nature,2000,7000,127,216,0.5732315008111762,0.7171488537660622,0.6124375000174145
000000000000000003da,stable_nature,2000,8000,127,216,0.5743335642641626,0.7200037189150692,0.611692755822691
000000000000000003da,stable_nature,3000,4000,0,64,,0.7994894108421595,0.7994894108421595
000000000000000003da,stable_nature,3000,5000,100,164,0.563838409187069,0.7130165267732036,0.6164864067040423
000000000000000003da,stable_nature,3000,6000,100,164,0.5684409175732458,0.7155528344888168,0.6130772397748163
000000000000000003da,stable_nature,3000,7000,100,164,0.5633068028408058,0.7113968848651213,0.6105683901856995
000000000000000003da,stable_nature,3000,8000,100,164,0.564945324311766,0.7181914426675361,0.6104154448984415
000000000000000003da,stable_nature,4000,5000,100,100,0.5633363980265785,0.6850797558220153,0.5717637896386097
000000000000000003da,stable_nature,4000,6000,100,100,0.5630046931546454,0.6787900600204585,0.5743820811827802
000000000000000003da,stable_nature,4000,7000,100,100,0.560118325572128,0.6773565812848706,0.5686080376378979
000000000000000003da,stable_nature,4000,8000,100,100,0.5624449277155937,0.6821161351529077,0.5734254814462322
00000000000000000260,stable_crop,0,1000,6,47,0.9810299375063732,0.9588559193362834,0.954371805611828
00000000000000000260,stable_crop,0,2000,56,115,0.9698310793454427,0.9522822723054494,0.9504659902416537
00000000000000000260,stable_crop,0,3000,147,200,0.9737105329448107,0.955202765745656,0.9591047756180003
00000000000000000260,stable_crop,0,4000,200,200,0.9704841297766001,0.9541185180910712,0.9574799590450712
00000000000000000260,stable_crop,0,5000,300,300,0.9456319519342745,0.9312397044471257,0.9342766959919524
00000000000000000260,stable_crop,0,6000,300,300,0.9488640987027303,0.9301530246282739,0.9340481047015687
00000000000000000260,stable_crop,0,7000,300,300,0.9467213651774984,0.929897031179631,0.9334044830137689
00000000000000000260,stable_crop,0,8000,300,300,0.9459078264313582,0.9282816756695479,0.9330537134457069
00000000000000000260,stable_crop,500,1000,6,34,0.9810299375063732,0.9616092329881908,0.9569855728764298
00000000000000000260,stable_crop,500,2000,56,102,0.9698310793454427,0.9531365026863162,0.9528317273551299
00000000000000000260,stable_crop,500,3000,147,187,0.9746164643793974,0.9561594547620205,0.9614764316372986
00000000000000000260,stable_crop,500,4000,200,187,0.971618033106324,0.955431285531804,0.9609416211733545
00000000000000000260,stable_crop,500,5000,300,287,0.9482221466779811,0.9309548206024212,0.9360330899367515
00000000000000000260,stable_crop,500,6000,300,287,0.9485744722962735,0.9278909577449348,0.9338944497428815
00000000000000000260,stable_crop,500,7000,300,287,0.9474184533510969,0.9273465634044677,0.936107339975695
00000000000000000260,stable_crop,500,8000,300,287,0.949833203710212,0.9306404194421986,0.9363433364780959
00000000000000000260,stable_crop,1000,2000,50,68,0.9686422796254067,0.9555692346486907,0.9577098851403832
00000000000000000260,stable_crop,1000,3000,141,153,0.974019867637379,0.9609556625224847,0.9642223553584074
00000000000000000260,stable_crop,1000,4000,194,153,0.970913781651769,0.9607149551811781,0.9639361774797235
00000000000000000260,stable_crop,1000,5000,294,253,0.9485799786139657,0.9264464184581029,0.9344049701361512
00000000000000000260,stable_crop,1000,6000,294,253,0.9467309382296458,0.9295808721087965,0.93665174396229
00000000000000000260,stable_crop,1000,7000,294,253,0.9459245259874746,0.9276948099212081,0.9348704143035539
00000000000000000260,stable_crop,1000,8000,294,253,0.948106576483059,0.9269003051307806,0.9365948321889174
00000000000000000260,stable_crop,2000,3000,91,85,0.9769791957211328,0.9678361368624382,0.9707962908685325
00000000000000000260,stable_crop,2000,4000,144,85,0.9719197129757877,0.9678361368624382,0.9688686808756622
00000000000000000260,stable_crop,2000,5000,244,185,0.946596427333258,0.9185662132327089,0.9300203359858612
00000000000000000260,stable_crop,2000,6000,244,185,0.9424321706535126,0.9193896640013447,0.9292481700534565
00000000000000000260,stable_crop,2000,7000,244,185,0.9463842674740572,0.9186675342929235,0.9279634251441785
00000000000000000260,stable_crop,2000,8000,244,185,0.9420412750566945,0.9206051555912887,0.9310821442503884
00000000000000000260,stable_crop,3000,4000,53,0,0.964097299257032,,0.964097299257032
00000000000000000260,stable_crop,3000,5000,153,100,0.9273689362479478,0.8972169029988591,0.90409767822116
00000000000000000260,stable_crop,3000,6000,153,100,0.922624143995769,0.8962342509851251,0.9057976947812166
00000000000000000260,stable_crop,3000,7000,153,100,0.9246973245125067,0.8945631041055104,0.9060425682174573
00000000000000000260,stable_crop,3000,8000,153,100,0.9252820834634965,0.8957007803430717,0.9073280037262281
00000000000000000260,stable_crop,4000,5000,100,100,0.9081459304721066,0.8973098773379943,0.8969519258530334
00000000000000000260,stable_crop,4000,6000,100,100,0.9096692415818696,0.8967433980291377,0.8957589752068188
00000000000000000260,stable_crop,4000,7000,100,100,0.9072354948651716,0.8974455877146043,0.8971991882979544
00000000000000000260,stable_crop,4000,8000,100,100,0.9066776805110376,0.897156870052127,0.8963097615872614
00000000000000000270,stable_crop,0,1000,16,22,0.7859763265189756,0.9356232982220807,0.8649508090457164
00000000000000000270,stable_crop,0,2000,58,70,0.7053381975703131,0.9081189223284438,0.7768747485089523
00000000000000000270,stable_crop,0,3000,125,169,0.7124303203529196,0.913697584997527,0.7578872811741869
00000000000000000270,stable_crop,0,4000,200,200,0.7447029885315598,0.9076350912629186,0.7237357087222093
00000000000000000270,stable_crop,0,5000,300,300,0.7476042004252119,0.8980874008769362,0.7225156932148018
00000000000000000270,stable_crop,0,6000,300,300,0.7518706594676978,0.8967316009738157,0.7232114667906809
00000000000000000270,stable_crop,0,7000,300,300,0.7449028544973374,0.8970572055174895,0.7159638012863039
00000000000000000270,stable_crop,0,8000,300,300,0.7463258379335671,0.896959567812383,0.7109915097037748
00000000000000000270,stable_crop,500,1000,9,20,0.7902971134331174,0.9344323432913136,0.8870037086018975
00000000000000000270,stable_crop,500,2000,51,68,0.7080374775181756,0.9074105057199113,0.7758930449948576
00000000000000000270,stable_crop,500,3000,118,167,0.7238486394003916,0.9140017793028274,0.7601595273901585
00000000000000000270,stable_crop,500,4000,193,198,0.7393398246199068,0.905028720819664,0.7272196753434466
00000000000000000270,stable_crop,500,5000,293,298,0.7561231854545815,0.8975148200863253,0.7218484485423606
00000000000000000270,stable_crop,500,6000,293,298,0.7557256465635023,0.8974169954734689,0.7130958046770101
00000000000000000270,stable_crop,500,7000,293,298,0.7509402032163478,0.8980634253267036,0.7254442673305527
00000000000000000270,stable_crop,500,8000,293,298,0.7536896135801523,0.8969445091076965,0.7179210152946971
00000000000000000270,stable_crop,1000,2000,42,48,0.7138726891970291,0.9031188839984041,0.7501574958864243
00000000000000000270,stable_crop,1000,3000,109,147,0.7320864200512548,0.9160426536107178,0.7500010301572314
00000000000000000270,stable_crop,1000,4000,184,178,0.7479222163317616,0.9076191056657523,0.7222518924156308
00000000000000000270,stable_crop,1000,5000,284,278,0.7616673401485714,0.8962754744192488,0.7124287292277288
00000000000000000270,stable_crop,1000,6000,284,278,0.7643907838872892,0.8977711839255806,0.7233913473208202
00000000000000000270,stable_crop,1000,7000,284,278,0.7726883066416119,0.8988779404216908,0.7171642123239359
00000000000000000270,stable_crop,1000,8000,284,278,0.7648910588902653,0.8978624469294153,0.7190202598118234
00000000000000000270,stable_crop,2000,3000,67,99,0.754478637371147,0.9281732362212421,0.7454300830564796
00000000000000000270,stable_crop,2000,4000,142,130,0.7797356583970938,0.9116119492898912,0.7246825892368308
00000000000000000270,stable_crop,2000,5000,242,230,0.783904581986761,0.8963206302066925,0.7142000681593867
00000000000000000270,stable_crop,2000,6000,242,230,0.7806851261285961,0.8983662584337326,0.7186177861220184
00000000000000000270,stable_crop,2000,7000,242,230,0.7816160701047894,0.8985759056727255,0.7223566255407968
00000000000000000270,stable_crop,2000,8000,242,230,0.7838761890317142,0.896547943395828,0.7153655088976891
00000000000000000270,stable_crop,3000,4000,75,31,0.8052999406935297,0.8788329620274345,0.7361696172683787
00000000000000000270,stable_crop,3000,5000,175,131,0.7905360645796762,0.8847244290227926,0.7101911434449171
00000000000000000270,stable_crop,3000,6000,175,131,0.7896367970832393,0.8856148620194526,0.719903709822726
00000000000000000270,stable_crop,3000,7000,175,131,0.7935943131233156,0.8867414729378076,0.7138619223464125
